ref_issue,number,ref_time,ref_author,ref_comment,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
dask/dask#1393,13731,2016-07-20 23:54:16,jcrist,2,pr,,,,,[],11,3,"['jcrist', 'danielballan', 'mrocklin']"
numpy/numpy#7854,13717,2016-07-20 21:06:01,flatberg,0,issue,,,,,['#7857'],13,5,"['flatberg', 'rkern', 'njsmith', 'seberg', 'gfyoung']"
numpy/numpy#7857,13717,2016-07-21 07:12:28,gfyoung,0,pr,,,,,[],19,5,"['gfyoung', 'seberg', 'bashtage', 'njsmith', 'rkern']"
dask/dask#1174,13267,2016-05-24 13:01:52,jreback,9,issue,jcrist,2016-07-20T20:49:45Z,,close,[],12,4,"['davclark', 'mrocklin', 'jreback', 'jcrist']"
matplotlib/matplotlib#6365,13131,2016-05-23 19:16:12,tacaswell,12,issue,tacaswell,2016-05-23T19:16:12Z,,close,['#6409'],13,4,"['Puggie', 'tacaswell', 'jreback', 'QuLogic']"
matplotlib/matplotlib#6392,13114,,,,pr,,,,,[],4,3,"['tacaswell', 'WeatherGod', 'mdboom']"
dask/dask#1063,12723,2016-03-28 15:58:47,jcrist,4,issue,jcrist,2016-03-29T21:11:34Z,,close,[],6,3,"['thequackdaddy', 'jcrist', 'jreback']"
numpy/numpy#7163,12196,,,,issue,jreback,2016-02-01T21:21:06Z,,close,[],3,2,"['jreback', 'charris']"
nilmtk/nilmtk#471,12089,2016-01-19 10:05:38,JackKelly,13,issue,JackKelly,2016-01-27T13:06:05Z,,close,[],20,3,"['jhyun0919', 'nipunbatra', 'JackKelly']"
matplotlib/matplotlib#6392,11858,2016-05-09 22:13:13,tacaswell,0,pr,,,,,[],4,3,"['tacaswell', 'WeatherGod', 'mdboom']"
matplotlib/matplotlib#5550,11858,,,,issue,tacaswell,2016-01-01T21:57:32Z,2f73778,close,['#5556'],17,5,"['arc-jim', '8one6', 'tacaswell', 'TomAugspurger', 'efiring']"
dask/dask#954,11790,2016-02-04 15:17:28,TomAugspurger,1,issue,user32000,2016-02-04T15:25:35Z,,close,[],4,3,"['user32000', 'TomAugspurger', 'mrocklin']"
