number,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
6509,issue,QuLogic,2016-07-10T01:05:23Z,,close,['#6581'],13,4,"['efiring', 'tacaswell', 'mdboom', 'QuLogic']"
6276,issue,tacaswell,2016-05-16T20:59:50Z,fd799a8,close,['#6281'],3,3,"['peynmurray', 'tacaswell', 'gepcel']"
6270,issue,tacaswell,2016-05-16T13:47:15Z,848e77e,close,['#6425'],5,4,"['w2naf', 'WeatherGod', 'tacaswell', 'efiring']"
6266,issue,WeatherGod,2016-04-08T18:09:08Z,d28c02e,close,[],4,4,"['janschulz', 'tacaswell', 'efiring', 'mdboom']"
6226,issue,tacaswell,2016-04-30T04:47:54Z,,close,['#6282'],3,2,"['peynmurray', 'tacaswell']"
6212,issue,tacaswell,2016-03-26T03:56:33Z,#6217,close,"['madphysicist/matplotlib#1', '#6217', '#6220']",3,2,"['madphysicist', 'tacaswell']"
6173,issue,tacaswell,2016-05-16T20:59:50Z,a2b90a8,close,['#6175'],14,3,"['madphysicist', 'WeatherGod', 'tacaswell']"
6035,issue,QuLogic,2016-05-30T20:34:14Z,,close,['#6054'],11,4,"['afvincent', 'efiring', 'tacaswell', 'QuLogic']"
5948,issue,tacaswell,2016-02-22T20:31:27Z,a5e1ab4,close,"['#5955', '#5911']",5,3,"['thisch', 'tacaswell', 'mdboom']"
5841,issue,tacaswell,2016-02-08T23:57:45Z,3e69fa5,close,['#5956'],4,4,"['anntzer', 'mdboom', 'tacaswell', 'QuLogic']"
5692,issue,tacaswell,2015-12-23T16:15:42Z,4604517,close,['#5711'],2,2,"['goretkin', 'tacaswell']"
5464,issue,WeatherGod,2015-11-18T05:14:00Z,b3021dc,close,[],2,4,"['davidcortesortuno', 'WeatherGod', 'mdboom', 'tacaswell']"
5444,issue,zblz,2015-11-09T12:46:49Z,f83daa7,close,['#5448'],5,5,"['breedlun', 'QuLogic', 'zblz', 'mdboom', 'tacaswell']"
5105,issue,tacaswell,2015-10-02T21:15:07Z,#5168,close,"['#5106', '#5168']",10,4,"['Tillsten', 'tacaswell', 'cgohlke', 'jkseppan']"
5023,pr,,,,,['#5016'],4,3,"['mdboom', 'tacaswell', 'efiring']"
