number,within_refs,cross_refs,commit_refs
6509,['/matplotlib/matplotlib/issues/6581'],[],[]
6276,"['/matplotlib/matplotlib/issues/6281', '/matplotlib/matplotlib/issues/6330']",[],"['/tacaswell/matplotlib/commit/eed7e694017e4c34f7d9101fcb02fa2138b5926b', '/matplotlib/matplotlib/commit/fd799a83d3faee25379429b850607e4e01ae663b', '/tacaswell/matplotlib/commit/fe05b44e35a1ee7c4f903f280f7e495600c79350', '/anntzer/matplotlib/commit/8681601085561d2c36d11423f4cba9acefbcbbbc']"
6270,['/matplotlib/matplotlib/issues/6425'],"['/vtsuperdarn/davitpy/issues/233', '/vtsuperdarn/davitpy/issues/262']","['/w2naf/davitpy/commit/d71913b335fcc8519b05a3f1476abb1445662d50', '/matplotlib/matplotlib/commit/848e77e1b77e3cfdbb26dc7483a813ad78f3ecaf', '/tacaswell/matplotlib/commit/8d1d08010507bff9afccdb6265220462e8371851']"
6266,[],[],"['/efiring/matplotlib/commit/354873b37cddc2098189666e2728f8a930ddbf00', '/matplotlib/matplotlib/commit/d28c02efc4d3874831c60c7adcbf73524359f1ee']"
6226,['/matplotlib/matplotlib/issues/6282'],[],"['/tacaswell/matplotlib/commit/af1aca3753e1f9dab26438dd1cb7a63ed2c1f086', '/tacaswell/matplotlib/commit/97953f39f2742dade289ad11f034db86f599a001', '/tacaswell/matplotlib/commit/b632ca2dcdaef55e1ff6bdc2a57f8b5fd9e24d00']"
6212,"['/madphysicist/matplotlib/issues/1', '/matplotlib/matplotlib/issues/6217', '/matplotlib/matplotlib/issues/6220']",[],"['/tacaswell/matplotlib/commit/cd04f4a433ec0f2d61911deee0c8c8f705368584', '/madphysicist/matplotlib/commit/88816809062fed96d2f194184bf53de8268d0973', '/tacaswell/matplotlib/commit/7e27cdf14170e587d3789132f14c3a52cd6f1a36']"
6173,['/matplotlib/matplotlib/issues/6175'],[],"['/tacaswell/matplotlib/commit/8cdfeb9b07f456615fa67f4f0e3dc3bee3286f81', '/matplotlib/matplotlib/commit/a2b90a8cb726ebe8ea9e8a8ae9c64855ec13d7b8', '/tacaswell/matplotlib/commit/f1cf41d50b7be95151a47f271c15df897df99d9a']"
6035,['/matplotlib/matplotlib/issues/6054'],[],"['/afvincent/matplotlib/commit/0b80926b4e63f65fdeab3cc7e897051978d20b78', '/afvincent/matplotlib/commit/1fde10b75030491c96b58719d8a9ab0ed14d2f0b', '/afvincent/matplotlib/commit/f5fc2fa26b330a26c77d4ca034403a36f5cfec6d', '/jenshnielsen/matplotlib/commit/d1fddc76b852fc90835fbb5b2e2bcd0c5b5262a8']"
5948,"['/matplotlib/matplotlib/issues/5955', '/matplotlib/matplotlib/issues/5911']",[],"['/matplotlib/matplotlib/commit/a5e1ab443922e9b08f84f6af061b7e92e0d8ae77', '/tacaswell/matplotlib/commit/befd75d9aabb4381dca09f6969fe78afcda58aa0']"
5841,['/matplotlib/matplotlib/issues/5956'],[],"['/matplotlib/matplotlib/commit/3e69fa5b2a39a37775b7864d3281c9e2144e1692', '/tacaswell/matplotlib/commit/a0485337a553e66030efee8633075333f94b4e47']"
