ref_issue,number,ref_time,ref_author,ref_comment,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
numpy/numpy#6271,6335,,,,pr,,,,,[],8,3,"['charris', 'seberg', 'jreback']"
joblib/joblib#263,5623,,,,issue,ogrisel,2015-10-30T18:16:39Z,scikit-learn/scikit-learn#5635,close,"['#264', '#265', '#282', '#240']",14,4,"['fjanoos', 'lesteve', 'GaelVaroquaux', 'ogrisel']"
joblib/joblib#258,5412,2015-10-22 12:12:03,mfrodl,0,issue,mfrodl,2015-11-15T11:27:10Z,,close,['#259'],3,2,"['mfrodl', 'GaelVaroquaux']"
PyAbel/PyAbel#51,5397,2015-12-08 23:15:36,DanHickstein,0,issue,DanHickstein,2015-12-14T18:38:27Z,,close,['#53'],4,3,"['DanHickstein', 'stggh', 'rth']"
nilearn/nilearn#896,5397,2015-12-08 22:03:25,rschmaelzle,0,issue,GaelVaroquaux,2015-12-20T09:51:14Z,8d4841e,close,['#920'],10,4,"['rschmaelzle', 'lesteve', 'GaelVaroquaux', 'KamalakerDadi']"
NixOS/nixpkgs#9146,5045,2015-08-10 18:34:24,FRidh,4,pr,,,,,[],9,3,"['FRidh', 'bjornfor', 'pSub']"
,,,,,,,,,,,,,
nilearn/nilearn#712,4737,2015-10-19 11:42:14,lesteve,2,issue,lesteve,2015-10-27T10:29:27Z,,close,"['#780', '#677', '#1045']",4,1,['lesteve']
sphinx-doc/sphinx#1892,4737,2015-06-15 07:10:23,jschueller,6,pr,,,,,"['#1822', '#2128']",14,6,"['Eric89GXL', 'jschueller', 'lsaffre', 'shimizukawa', 'birkenfeld', 'amueller']"
numpy/numpy#5533,4701,,,,issue,,,,,[],30,10,"['dschallis', 'matthew-brett', 'juliantaylor', 'argriffing', 'insertinterestingnamehere', 'sturlamolden', 'amueller', 'charris', 'mrocklin', 'njsmith']"
joblib/joblib#150,4597,,,,pr,,,,,[],5,2,"['ogrisel', 'GaelVaroquaux']"
joblib/joblib#214,4597,,,,pr,,,,,[],4,3,"['ogrisel', 'lesteve', 'fenghuadong']"
pydata/pandas#10043,4597,,,,issue,jreback,2015-05-08T00:06:40Z,,close,"['#10070', '#11502', '#12813']",29,6,"['amueller', 'jreback', 'TomAugspurger', 'shoyer', 'ogrisel', 'rhansen']"
pydata/pandas#9928,4597,,,,issue,ek-ok,2015-04-18T05:59:42Z,,close,[],5,3,"['ek-ok', 'shoyer', 'amueller']"
joblib/joblib#168,4430,,,,issue,,,,,[],2,1,['ogrisel']
joblib/joblib#198,4430,2015-03-20 21:08:21,dave1g,0,issue,,,,,[],3,2,"['dave1g', 'ogrisel']"
numpy/numpy#5696,4399,,,,issue,charris,2015-03-21T02:04:23Z,,close,[],15,3,"['amueller', 'charris', 'ahaldane']"
,,,,,,,,,,,,,
joblib/joblib#57,4127,2015-01-20 18:01:46,amueller,1,issue,,,,,[],2,2,"['lsartran', 'amueller']"
scipy/scipy#3025,4102,,,,issue,pv,2013-11-09T14:10:43Z,04a2dda,close,[],8,4,"['bretter', 'rgommers', 'pv', 'thouis']"
numpy/numpy#5456,4046,,,,issue,MechCoder,2015-01-16T18:13:19Z,,close,[],5,3,"['MechCoder', 'jnothman', 'pv']"
materialsinnovation/pymks#132,3984,2014-12-19 14:59:47,davidbrough1,2,issue,davidbrough1,2015-01-12T17:45:39Z,,close,[],4,2,"['wd15', 'davidbrough1']"
sphinx-gallery/sphinx-gallery#18,3777,2015-02-16 16:49:58,Titan-C,0,issue,lesteve,2016-03-17T15:31:09Z,#106,close,"['#19', '#53', '#106']",1,1,['Titan-C']
