number,within_refs,cross_refs,commit_refs
6902,['/scikit-learn/scikit-learn/issues/6918'],[],[]
6795,['/scikit-learn/scikit-learn/issues/6817'],[],[]
6793,['/scikit-learn/scikit-learn/issues/6814'],[],"['/scikit-learn/scikit-learn/commit/3bdfd347892aa64df8c2f72e866192e7df4a822c', '/scikit-learn/scikit-learn/commit/35131c95cb6728a49c0875c7021f966e8cb380fa', '/scikit-learn/scikit-learn/commit/485445401622f2cae0921c6678bbfb47c0deca27']"
6764,[],[],"['/scikit-learn/scikit-learn/pull/6764/commits/50cfc2654b1f25f345a05cadf5bf1287adfb00e6', '/scikit-learn/scikit-learn/pull/6764/commits/fae37b368868c90f23b176b1b823dc582d3cdb3a', '/scikit-learn/scikit-learn/pull/6764/commits/382bc8813783cd6da7878cf6d3adb518bb86a595', '/scikit-learn/scikit-learn/pull/6764/commits/0217a5c6fdfd4811d5417538aa94ec29810b5cd2', '/scikit-learn/scikit-learn/pull/6764/commits/523e1d309c08c61250e4a1cebffee9639c91f703']"
6728,['/scikit-learn/scikit-learn/issues/6764'],[],['/geekoala/scikit-learn/commit/50cfc2654b1f25f345a05cadf5bf1287adfb00e6']
6724,[],[],['/scikit-learn/scikit-learn/pull/6724/commits/a89f7549ef3330f135b730397f23204bc13a2f50']
6718,['/scikit-learn/scikit-learn/issues/6724'],[],[]
6499,[],[],[]
6443,[],[],[]
6343,[],[],"['/scikit-learn/scikit-learn/pull/6343/commits/80bb29b6292541273ac8245bd33ad2f04d9cdce3', '/scikit-learn/scikit-learn/pull/6343/commits/56d9c758247feb1204840f5a3a5cf23d3636bbbb']"
6335,['/scikit-learn/scikit-learn/issues/6337'],[],['/maniteja123/scikit-learn/commit/490a53fcb0db7f8715e0e10a90460cf9d8938264']
6320,"['/scikit-learn/scikit-learn/issues/6327', '/scikit-learn/scikit-learn/issues/6353']",[],[]
6280,['/scikit-learn/scikit-learn/issues/6333'],[],[]
6279,"['/scikit-learn/scikit-learn/issues/6077', '/scikit-learn/scikit-learn/issues/6508', '/scikit-learn/scikit-learn/issues/6661', '/scikit-learn/scikit-learn/issues/6759']",[],"['/lesteve/scikit-learn/commit/c39af256b59aa4fbf367e91138512bc01fe6f3ac', '/lesteve/scikit-learn/commit/846f87cee4c1850ea5e4add868fdfd0924f7b272', '/lesteve/scikit-learn/commit/2d198950dc9452a78b116834ac88dae45b4e4bf4', '/mannby/scikit-learn/commit/06e92b05b4882f8d7c27d828b0cfdb2c4941f592']"
