number,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
6902,issue,agramfort,2016-07-23T20:29:29Z,#6918,close,['#6918'],6,4,"['LeonieBorne', 'lesteve', 'jnothman', 'kris-singh']"
6795,issue,jnothman,2016-05-25T13:07:38Z,#6817,close,['#6817'],2,2,"['gioelelm', 'agramfort']"
6793,issue,ogrisel,2016-05-26T11:51:18Z,#6814,close,['#6814'],3,4,"['mbatchkarov', 'lesteve', 'agramfort', 'ogrisel']"
6764,pr,,,,,[],6,4,"['geekoala', 'jnothman', 'ogrisel', 'maniteja123']"
6728,issue,ogrisel,2016-05-10T07:32:15Z,#6764,close,['#6764'],2,3,"['perhapszzy', 'mblondel', 'ogrisel']"
6724,pr,,,,,[],7,3,"['jnothman', 'ogrisel', 'TomDLT']"
6718,issue,jnothman,2016-05-14T13:55:24Z,#6724,close,['#6724'],2,1,['jnothman']
6499,issue,amueller,2016-03-07T17:23:10Z,,close,[],3,4,"['MechCoder', 'nelson-liu', 'raghavrv', 'amueller']"
6443,issue,dsquareindia,2016-02-29T21:49:01Z,,close,[],6,3,"['dsquareindia', 'raghavrv', 'amueller']"
6343,pr,,,,,[],6,4,"['lesteve', 'ogrisel', 'GaelVaroquaux', 'AlexanderFabisch']"
6335,issue,ogrisel,2016-02-18T07:59:31Z,,close,['#6337'],19,4,"['ogrisel', 'maniteja123', 'amueller', 'TomDLT']"
6320,issue,larsmans,2016-02-13T17:28:45Z,7cd0419,close,['#6327'],5,3,"['larsmans', 'yenchenlin', 'amueller']"
6280,issue,TomDLT,2016-02-17T12:59:42Z,#6333,close,['#6333'],5,4,"['ogrisel', 'malzantot', 'soupault', 'TomDLT']"
6279,issue,TomDLT,2016-05-03T14:29:55Z,#6661,close,"['#6077', '#6508', '#6661']",11,3,"['ogrisel', 'lesteve', 'amueller']"
6272,pr,,,,,['#6269'],2,2,"['jakevdp', 'agramfort']"
6268,pr,,,,,['#5639'],12,3,"['ogrisel', 'GaelVaroquaux', 'jakevdp']"
6226,issue,amueller,2016-01-25T22:42:20Z,#6229,close,['#6229'],2,2,"['MechCoder', 'dsquareindia']"
6202,issue,MechCoder,2016-03-21T13:51:39Z,#6221,close,"['#6200', '#6221', '#6239']",3,2,"['MechCoder', 'dsquareindia']"
6196,issue,MechCoder,2016-01-28T06:21:57Z,#6235,close,['#6235'],7,3,"['boskaiolo', 'lesteve', 'GaelVaroquaux']"
6195,issue,ogrisel,2016-01-27T10:12:02Z,#6201,close,"['#6179', '#6201']",7,3,"['GaelVaroquaux', 'ogrisel', 'clamus']"
6193,issue,ogrisel,2016-01-28T09:43:03Z,#6218,close,['#6218'],1,1,['amueller']
6147,issue,ogrisel,2016-01-29T10:26:40Z,,close,"['#6179', '#6225']",9,6,"['armgilles', 'ogrisel', 'hershaw', 'amueller', 'MarkRConway', 'lesteve']"
6078,issue,jnothman,2015-12-28T22:27:33Z,,close,"['#6081', '#6088']",5,3,"['duboism', 'jnothman', 'fayeshine']"
5808,issue,glouppe,2015-11-22T17:15:56Z,,close,['#5858'],10,4,"['ktrnka', 'amueller', 'jmschrei', 'glouppe']"
5738,issue,agramfort,2015-12-10T20:31:11Z,#5773,close,['#5773'],2,2,"['amueller', 'Sentient07']"
5725,issue,TomDLT,2016-01-04T15:51:10Z,,close,['#5852'],7,6,"['amueller', 'agramfort', 'Steph-Query', 'mrshu', 'TomDLT', 'ogrisel']"
5677,issue,glouppe,2015-11-02T12:28:12Z,,close,[],10,4,"['glouppe', 'dohmatob', 'GaelVaroquaux', 'amueller']"
5671,issue,GaelVaroquaux,2015-11-03T18:26:55Z,f7e886a,close,['#5682'],3,2,"['amueller', 'vighneshbirodkar']"
5627,issue,ogrisel,2015-10-30T17:02:51Z,,close,[],8,2,"['ogrisel', 'amueller']"
5625,issue,amueller,2015-11-01T23:06:37Z,,close,['#5626'],2,2,"['ogrisel', 'amueller']"
5623,issue,ogrisel,2015-10-30T18:19:16Z,,close,"['#5624', '#5635']",2,1,['ogrisel']
5608,issue,ogrisel,2016-02-08T16:15:18Z,,close,['#6135'],6,5,"['lesteve', 'amueller', 'dsquareindia', 'TomDLT', 'ogrisel']"
5604,issue,glouppe,2015-10-28T08:02:23Z,,close,[],3,3,"['yarikoptic', 'glouppe', 'amueller']"
5598,issue,amueller,2015-11-01T23:05:30Z,,close,"['#5636', '#5492']",6,3,"['TomDLT', 'ogrisel', 'amueller']"
5536,issue,amueller,2015-11-02T02:58:49Z,,close,[],15,6,"['Bordbonen', 'amueller', 'absolutelyNoWarranty', 'jakevdp', 'MechCoder', 'IshankGulati']"
5502,issue,amueller,2015-11-03T19:06:26Z,#5688,close,"['#5449', '#5688']",9,4,"['amueller', 'giorgiop', 'vinayak-mehta', 'ogrisel']"
5495,issue,amueller,2015-10-23T14:31:26Z,,close,['#5508'],11,2,"['amueller', 'dohmatob']"
5474,issue,ogrisel,2015-10-20T11:36:54Z,#5480,close,"['#5479', '#5480']",9,6,"['GaelVaroquaux', 'hlin117', 'lesteve', 'pletelli', 'ogrisel', 'glouppe']"
5450,issue,amueller,2015-10-22T10:44:37Z,#5008,close,['#5008'],2,3,"['TomDLT', 'amueller', 'glouppe']"
5449,pr,,,,,['#5502'],32,7,"['Jeffrey04', 'ogrisel', 'MechCoder', 'jnothman', 'giorgiop', 'amueller', 'untom']"
5433,issue,ogrisel,2015-10-21T09:42:27Z,#5449,close,"['#5449', '#5502']",7,4,"['Jeffrey04', 'jnothman', 'giorgiop', 'ogrisel']"
5422,issue,amueller,2015-10-16T16:05:56Z,,close,['#5420'],1,1,['amueller']
5415,issue,ogrisel,2015-10-30T13:30:45Z,,close,"['#5420', '#5008']",12,7,"['luoq', 'trevorstephens', 'lesteve', 'raghavrv', 'TomDLT', 'ogrisel', 'amueller']"
5412,issue,amueller,2015-10-22T13:09:22Z,,close,[],17,7,"['amueller', 'ogrisel', 'mfrodl', 'arthurmensch', 'lesteve', 'GaelVaroquaux', 'glouppe']"
5408,issue,amueller,2015-10-16T15:47:27Z,#5416,close,['#5416'],4,4,"['lesteve', 'giorgiop', 'amueller', 'ogrisel']"
5407,issue,amueller,2015-10-21T08:58:04Z,,close,[],7,6,"['lesteve', 'amueller', 'raghavrv', 'Mbompr', 'ogrisel', 'GaelVaroquaux']"
5406,issue,amueller,2015-10-15T19:18:53Z,#5409,close,['#5409'],1,2,"['lesteve', 'ogrisel']"
5405,issue,glouppe,2015-10-17T07:24:17Z,,close,['#5423'],5,5,"['lesteve', 'raghavrv', 'MechCoder', 'ogrisel', 'glouppe']"
5404,issue,ogrisel,2015-10-16T14:57:38Z,#5411,close,['#5411'],2,3,"['lesteve', 'raghavrv', 'ogrisel']"
5397,issue,amueller,2015-10-15T16:45:43Z,#5398,close,['#5398'],7,6,"['amueller', 'lesteve', 'giorgiop', 'GaelVaroquaux', 'raghavrv', 'ogrisel']"
5389,issue,amueller,2015-11-02T18:04:22Z,,close,[],6,3,"['l3link', 'amueller', 'adijo']"
5371,pr,,,,,['#2393'],11,3,"['ylow', 'jnothman', 'amueller']"
5358,pr,,,,,"['#2821', '#6759']",16,5,"['arthurmensch', 'ogrisel', 'amueller', 'eickenberg', 'kastnerkyle']"
5351,issue,ogrisel,2015-10-12T11:32:27Z,,close,['#5362'],2,3,"['cel4', 'MechCoder', 'ogrisel']"
5340,issue,DmitriR,2015-10-27T23:06:16Z,,close,['#5426'],22,5,"['DmitriR', 'amueller', 'lesteve', 'absolutelyNoWarranty', 'giorgiop']"
5324,issue,jnothman,2015-10-15T20:47:14Z,#5402,close,['#5402'],5,4,"['cosmos2006', 'amueller', 'jnothman', 'lesteve']"
5267,issue,ogrisel,2015-10-16T07:18:56Z,,close,['#5401'],22,7,"['myflyinggip', 'amueller', 'TomDLT', 'jnothman', 'jmschrei', 'ogrisel', 'lesteve']"
5246,issue,ogrisel,2015-10-07T09:43:48Z,,close,['#5282'],4,5,"['aesuli', 'amueller', 'TomDLT', 'andylamb', 'ogrisel']"
5235,issue,ogrisel,2015-10-07T09:26:04Z,,close,['#5356'],6,4,"['amueller', 'giorgiop', 'ogrisel', 'raghavrv']"
5177,issue,amueller,2016-01-20T15:10:27Z,,close,"['#5193', '#5197', '#5208', '#5534', '#5692']",11,5,"['FRidh', 'amueller', 'larsmans', 'garbas', 'ogrisel']"
5164,issue,amueller,2015-11-02T01:00:31Z,,close,"['#5644', '#5661']",14,4,"['kevin-coder', 'amueller', 'trevorstephens', 'ogrisel']"
5136,issue,amueller,2015-10-13T19:40:18Z,,close,[],12,5,"['sebconort', 'agramfort', 'amueller', 'arthurmensch', 'lesteve']"
5135,issue,amueller,2015-09-10T14:19:18Z,,close,[],6,3,"['soufanom', 'amueller', 'ogrisel']"
5134,issue,MechCoder,2015-09-08T17:51:20Z,,close,"['#5149', '#5182']",6,4,"['jagapiou', 'agramfort', 'MechCoder', 'amueller']"
5132,issue,ogrisel,2015-08-27T13:22:38Z,,close,['#5161'],8,4,"['jnothman', 'dubstack', 'jackzhang84', 'ogrisel']"
5118,issue,ogrisel,2015-09-28T15:18:13Z,,close,['#5253'],5,3,"['larsmans', 'amueller', 'ogrisel']"
5107,issue,larsmans,2015-08-13T21:11:31Z,4ac6a90,close,['#5112'],8,4,"['larsmans', 'dubstack', 'chyikwei', 'amueller']"
5095,issue,olologin,2015-08-07T16:11:26Z,,close,['#5093'],8,3,"['olologin', 'amueller', 'TomDLT']"
5073,issue,jnothman,2015-08-17T01:32:20Z,,close,"['#5091', '#4996']",10,4,"['adamzjw', 'agramfort', 'jnothman', 'amueller']"
5045,issue,amueller,2015-07-31T23:07:19Z,,close,"['#5047', '#5049', '#5010', '#4939', '#5052', '#5062', '#5066', '#5064']",6,3,"['amueller', 'jmetzen', 'GaelVaroquaux']"
5043,issue,larsmans,2015-08-14T16:45:50Z,,close,['#5050'],2,2,"['amueller', 'larsmans']"
5040,issue,amueller,2015-08-03T15:43:07Z,,close,[],11,4,"['mgabel-stratoscale', 'amueller', 'kastnerkyle', 'sreenivasraghavan71']"
5033,issue,jnothman,2015-08-27T02:35:49Z,#5063,close,['#5063'],3,2,"['yuriShafet', 'amueller']"
5029,issue,amueller,2015-12-10T21:51:15Z,,close,['#5065'],9,5,"['joewreschnig', 'amueller', 'andylamb', 'jnothman', 'raghavrv']"
5013,issue,ogrisel,2015-10-05T08:50:36Z,#5337,close,"['#5012', '#5337']",13,5,"['ogrisel', 'amueller', 'TomDLT', 'arthurmensch', 'GaelVaroquaux']"
5012,pr,,,,,"['#5545', '#6179']",37,5,"['yanlend', 'ogrisel', 'amueller', 'GaelVaroquaux', 'giorgiop']"
5008,pr,,,,,"['#5415', '#5420', '#5598']",13,5,"['TomDLT', 'ogrisel', 'kastnerkyle', 'amueller', 'agramfort']"
4996,issue,jnothman,2015-08-15T13:40:00Z,,close,['#5091'],12,4,"['yangj1e', 'amueller', 'jayflo', 'jnothman']"
4995,pr,,,,,[],11,5,"['yanlend', 'agramfort', 'amueller', 'GaelVaroquaux', 'ogrisel']"
4985,issue,larsmans,2015-07-31T09:00:32Z,cec3bf9,close,[],6,3,"['andrewww', 'amueller', 'larsmans']"
4976,issue,GaelVaroquaux,2015-10-19T21:31:52Z,,close,"['#5084', '#5445']",7,5,"['poldrack', 'amueller', 'jayflo', 'tomMoral', 'GaelVaroquaux']"
4949,issue,jnothman,2015-08-04T00:43:27Z,,close,['#4981'],12,5,"['lukauskas', 'betatim', 'amueller', 'GaelVaroquaux', 'jnothman']"
4944,issue,glouppe,2015-07-24T05:12:34Z,,close,['#4967'],15,5,"['JefferyRPrice', 'amueller', 'stephen-hoover', 'ndawe', 'glouppe']"
4942,issue,amueller,2015-08-08T15:38:14Z,#5093,close,"['#4967', '#5063', '#5093']",22,6,"['eyaler', 'agramfort', 'amueller', 'edsonduarte1990', 'hlin117', 'ogrisel']"
4940,issue,amueller,2015-07-11T16:58:19Z,,close,['#4953'],3,3,"['amaurits', 'mrphilroth', 'amueller']"
4930,issue,amueller,2015-09-22T16:27:59Z,,close,"['#4852', '#5061']",8,3,"['chiatungkuo', 'amueller', 'jayflo']"
4921,issue,MechCoder,2015-09-14T17:56:54Z,,close,['#5262'],6,4,"['davidgbe', 'amueller', 'andylamb', 'MechCoder']"
4907,issue,larsmans,2015-07-12T12:18:30Z,d389142,close,"['#4956', '#4938']",4,3,"['wfbradley', 'amueller', 'nealchau']"
4895,issue,amueller,2015-09-24T20:41:39Z,,close,['#4955'],14,6,"['ahurriyetoglu', 'jnothman', 'raghavrv', 'amueller', 'copyconstructor', 'larsmans']"
4893,pr,,,,,"['#4888', '#2821']",6,4,"['jmschrei', 'ogrisel', 'vene', 'agramfort']"
4888,issue,amueller,2015-09-11T19:25:23Z,,close,['#4893'],5,3,"['jmschrei', 'ogrisel', 'amueller']"
4880,issue,mblondel,2015-06-24T11:08:02Z,#4891,close,['#4891'],5,4,"['wlattner', 'agramfort', 'MechCoder', 'amueller']"
4879,issue,agramfort,2015-06-24T21:33:10Z,#4894,close,"['#4539', '#4894']",12,4,"['mbatchkarov', 'arjoly', 'amueller', 'tw991']"
4846,issue,mblondel,2015-06-22T15:38:09Z,#4851,close,"['#4838', '#4851']",1,1,['mblondel']
4845,pr,,,,,[],7,3,"['Carldeboer', 'amueller', 'xuewei4d']"
4809,issue,verne91,2015-07-01T23:16:23Z,,close,[],11,3,"['verne91', 'amueller', 'raghavrv']"
4793,issue,amueller,2015-06-01T17:16:31Z,,close,[],6,3,"['sergey-salnikov', 'amueller', 'jakevdp']"
4786,pr,,,,,[],5,4,"['amueller', 'mblondel', 'agramfort', 'GaelVaroquaux']"
4784,issue,amueller,2015-06-01T20:30:48Z,,close,[],11,5,"['vicpara', 'amueller', 'valeriyischenko', 'ogrisel', 'dashesy']"
4756,issue,amueller,2015-05-27T16:50:40Z,,close,['#4761'],5,2,"['tiagofrepereira2012', 'amueller']"
4755,issue,agramfort,2015-06-09T08:55:19Z,bdd3cb7,close,['#4763'],3,2,"['amueller', 'sonnyhu']"
4751,pr,,,,,['#4746'],3,3,"['amueller', 'agramfort', 'ogrisel']"
4746,issue,arthurmensch,2015-05-22T13:30:48Z,,close,['#4751'],9,3,"['arthurmensch', 'amueller', 'ogrisel']"
4744,issue,glouppe,2015-07-19T17:26:25Z,#4954,close,"['#4745', '#4954']",3,2,"['y0ast', 'amueller']"
4737,issue,amueller,2015-12-08T23:27:33Z,,close,[],7,2,"['amueller', 'shoyer']"
4731,issue,mblondel,2015-05-16T00:02:52Z,#4733,close,['#4733'],5,1,['amueller']
4721,issue,amueller,2015-05-14T14:04:50Z,,close,[],2,2,"['StevenLOL', 'amueller']"
4719,issue,amueller,2015-06-01T15:21:37Z,,close,['#4702'],4,1,['amueller']
4717,issue,rebeccaroisin,2015-05-14T09:21:03Z,,close,[],5,4,"['rebeccaroisin', 'amueller', 'imadie', 'KelseyJustis']"
4705,pr,,,,,['#4700'],11,4,"['amueller', 'agramfort', 'arjoly', 'ogrisel']"
4701,issue,amueller,2015-09-09T20:20:23Z,,close,[],10,3,"['Renzhh', 'amueller', 'enfeizhan']"
4700,issue,ogrisel,2015-05-20T12:21:05Z,,close,['#4705'],6,3,"['Jonfor', 'amueller', 'ogrisel']"
4684,pr,,,,,[],8,3,"['ogrisel', 'amueller', 'agramfort']"
4666,issue,amueller,2015-05-04T13:48:32Z,,close,['#3306'],13,2,"['amueller', 'agramfort']"
4654,pr,,,,,[],5,2,"['amueller', 'ogrisel']"
4646,issue,amueller,2015-09-09T20:21:25Z,,close,"['#4942', '#4933']",4,2,"['amueller', 'ogrisel']"
4641,issue,ogrisel,2015-05-04T08:55:50Z,#4650,close,['#4650'],10,4,"['volsky', 'lesteve', 'jnothman', 'amueller']"
4634,issue,amueller,2015-06-08T15:19:47Z,,close,['#4714'],12,4,"['adjgiulio', 'agramfort', 'amueller', 'raghavrv']"
4625,issue,ogrisel,2015-05-07T10:21:16Z,#4654,close,['#4654'],1,2,"['cnglen', 'amueller']"
4620,issue,amueller,2015-06-15T19:05:34Z,,close,[],6,3,"['rabby410002', 'amueller', 'kjasinska']"
4615,issue,amueller,2015-04-19T19:53:02Z,,close,[],5,2,"['AlexanderFabisch', 'amueller']"
4597,issue,amueller,2015-05-20T15:06:56Z,#4684,close,"['#4678', '#4684', '#4773']",35,6,"['DonBeo', 'agramfort', 'lesteve', 'amueller', 'koefoed', 'ogrisel']"
4591,issue,amueller,2015-04-15T15:26:17Z,,close,[],5,2,"['yw652', 'amueller']"
4564,issue,amueller,2015-04-14T15:46:23Z,,close,[],4,2,"['shenchong721', 'amueller']"
4562,pr,,,,,[],11,5,"['hsuantien', 'amueller', 'mortada', 'TomDLT', 'agramfort']"
4559,issue,ogrisel,2015-04-16T14:46:10Z,,close,['#4590'],1,2,"['amueller', 'ogrisel']"
4556,issue,adrien-pain-01,2015-04-13T23:42:19Z,,close,['#4588'],14,2,"['adrien-pain-01', 'amueller']"
4540,issue,GaelVaroquaux,2015-04-14T15:45:22Z,#4541,close,['#4541'],32,2,"['vkuznet', 'amueller']"
4538,issue,amueller,2015-04-09T15:30:52Z,,close,[],5,3,"['Quadrocube', 'agramfort', 'amueller']"
4536,issue,amueller,2015-04-15T19:52:33Z,,close,"['#4535', '#4537']",6,4,"['amueller', 'ogrisel', 'agramfort', 'kastnerkyle']"
4528,pr,,,,,[],5,3,"['amueller', 'ogrisel', 'agramfort']"
4524,issue,amueller,2015-04-30T18:17:58Z,,close,['#4526'],5,2,"['amueller', 'vinayak-mehta']"
