number,issue_rel,rel_time,rel_author,rel_comment,type
6764,scikit-learn/scikit-learn#6728,2016-05-05 08:56:18,geekoala,0,within
6724,scikit-learn/scikit-learn#6718,2016-04-27 00:23:41,jnothman,0,within
6718,scikit-learn/scikit-learn#1334,2016-04-26 13:30:09,jnothman,0,within
6343,scikit-learn/scikit-learn#5916,2016-02-12 15:55:26,lesteve,0,within
6343,scikit-learn/scikit-learn#5983,2016-02-12 15:55:26,lesteve,0,within
6343,scikit-learn/scikit-learn#5983,2016-02-15 13:45:26,lesteve,2,within
6335,scikit-learn/scikit-learn#6332,2016-02-11 12:35:42,ogrisel,1,within
6335,numpy/numpy#6271,2016-02-11 14:25:27,maniteja123,4,cross
6335,scikit-learn/scikit-learn#6332,2016-02-12 19:58:41,amueller,17,within
6335,scikit-learn/scikit-learn#6363,2016-02-18 07:59:31,ogrisel,18,within
6320,scikit-learn/scikit-learn#5879,2016-02-09 16:51:33,larsmans,1,within
6280,scikit-learn/scikit-learn#6274,2016-02-04 14:34:11,ogrisel,0,within
6280,scikit-learn/scikit-learn#6280,2016-02-05 16:00:29,ogrisel,3,within
6279,scikit-learn/scikit-learn#6274,2016-02-04 14:30:51,ogrisel,0,within
6279,scikit-learn/scikit-learn#6077,2016-02-04 14:44:15,ogrisel,1,within
6279,scikit-learn/scikit-learn#6494,2016-03-05 23:22:10,ogrisel,5,within
6279,scikit-learn/scikit-learn#6077,2016-03-08 15:26:01,amueller,9,within
6272,scikit-learn/scikit-learn#6269,2016-02-04 08:36:27,agramfort,1,within
6268,scikit-learn/scikit-learn#5713,2016-02-02 12:48:35,ogrisel,0,within
6196,scikit-learn/scikit-learn#4600,2016-01-26 08:50:55,lesteve,5,within
6195,scikit-learn/scikit-learn#6195,2016-01-27 10:15:17,ogrisel,1,within
6195,scikit-learn/scikit-learn#6201,2016-01-27 10:15:17,ogrisel,1,within
6147,scikit-learn/scikit-learn#6023,2016-01-09 16:03:21,armgilles,0,within
6147,scikit-learn/scikit-learn#6225,2016-01-29 10:26:21,ogrisel,5,within
6078,scikit-learn/scikit-learn#6088,2015-12-25 23:31:09,duboism,3,within
5808,scikit-learn/scikit-learn#5858,2015-11-20 09:49:54,glouppe,4,within
5808,scikit-learn/scikit-learn#5858,2015-11-20 23:59:49,ktrnka,6,within
5738,scikit-learn/scikit-learn#5429,2015-11-05 19:24:53,amueller,0,within
5725,scikit-learn/scikit-learn#5413,2015-11-16 20:28:24,Steph-Query,5,within
5725,scikit-learn/scikit-learn#5852,2015-12-15 22:38:23,mrshu,6,within
