ref_issue,number,ref_time,ref_author,ref_comment,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
xonsh/xonsh#726,9648,,,,issue,,,,,['#728'],36,9,"['asmeurer', 'scopatz', 'gforsyth', 'Carreau', 'melund', 'cryzed', 'jeremydonahue', 'gqmelo', 'santagada']"
,,,,,,,,,,,,,
ludwigschwardt/python-gnureadline#43,8804,2015-11-23 17:37:49,posita,9,issue,ludwigschwardt,2015-05-07T07:18:36Z,,close,[],12,4,"['bobwaycott', 'ludwigschwardt', 'posita', 'seanjensengrey']"
pickleshare/pickleshare#8,8776,,,,issue,minrk,2016-01-19T20:51:37Z,,close,['#9'],12,8,"['chrisidefix', 'Michaelizm', 'Peque', 'cdeil', 'jjstickel', 'nikolas', 'Carreau', 'minrk']"
jupyter/notebook#973,8069,2015-03-17 16:14:15,minrk,0,issue,,,,,[],5,1,['minrk']
dela3499/assay-explorer#12,8012,2015-06-05 00:20:31,dela3499,1,issue,dela3499,2015-06-05T00:20:41Z,,close,[],2,1,['dela3499']
chjj/term.js#60,7782,2015-02-14 02:16:53,fperez,0,issue,,,,,[],3,2,"['fperez', 'chjj']"
winpython/winpython#34,7707,2014-12-22 07:33:15,stonebig,0,issue,stonebig,2015-08-02T06:56:23Z,,close,[],29,3,"['stonebig', 'yw5aj', 'lidstrom83']"
spyder-ide/spyder#2108,7408,2015-02-17 22:33:06,spyder-issues-migrator,1,issue,spyder-issues-migrator,2015-02-17T22:33:07Z,,close,[],3,1,['spyder-issues-migrator']
codemirror/CodeMirror#3009,7395,,,,issue,marijnh,2014-12-29T12:13:47Z,,close,[],2,2,"['rheber', 'marijnh']"
codemirror/CodeMirror#3022,7395,2015-01-08 17:44:27,Carreau,0,issue,marijnh,2015-01-09T17:15:39Z,,close,[],3,2,"['Carreau', 'marijnh']"
jupyter/nbconvert#145,7394,2015-10-24 15:27:45,matiasdahl,0,issue,minrk,2015-10-27T12:42:33Z,,close,[],2,2,"['matiasdahl', 'minrk']"
matplotlib/matplotlib#3965,7351,2015-01-06 04:10:58,tacaswell,22,pr,,,,,[],39,5,"['tacaswell', 'blink1073', 'pelson', 'WeatherGod', 'mdboom']"
matplotlib/matplotlib#3962,7351,2015-01-02 16:07:16,beojan,0,issue,tacaswell,2015-01-15T15:49:22Z,,close,[],12,3,"['beojan', 'WeatherGod', 'tacaswell']"
matplotlib/matplotlib#4002,7351,2015-01-14 23:58:16,minrk,0,pr,,,,,['#3962'],4,3,"['minrk', 'tacaswell', 'pelson']"
jupyter/notebook#45,7317,2015-04-23 00:27:49,takluyver,0,pr,,,,,[],7,6,"['takluyver', 'Carreau', 'damianavila', 'jdfreder', 'minrk', 'rgbkrk']"
matplotlib/matplotlib#3932,7276,,,,issue,tacaswell,2014-12-18T02:41:25Z,,close,[],7,3,"['eyurtsev', 'tacaswell', 'minrk']"
Calysto/metakernel#51,6893,2014-11-10 14:52:49,blink1073,4,issue,blink1073,2014-11-10T23:02:29Z,,close,[],7,2,"['dsblank', 'blink1073']"
SciRuby/iruby#19,6823,2015-05-26 21:12:22,minad,1,issue,minad,2015-06-01T10:38:31Z,,close,[],2,1,['minad']
ipython/ipywidgets#163,6534,2015-09-21 19:02:38,jdfreder,0,issue,,,,,[],1,1,['jdfreder']
,,,,,,,,,,,,,
cython/cython#322,6507,2014-09-20 15:32:16,Carreau,0,pr,,,,,[],3,2,"['Carreau', 'scoder']"
gibiansky/IHaskell#269,6334,2014-08-18 20:42:08,gibiansky,1,issue,gibiansky,2015-03-06T22:49:41Z,,close,[],3,2,"['cblp', 'gibiansky']"
,,,,,,,,,,,,,
mwaskom/seaborn#246,6262,2014-08-02 20:34:36,mwaskom,0,issue,mwaskom,2015-01-19T20:43:45Z,,close,[],2,1,['mwaskom']
PyMVPA/PyMVPA#249,6109,2014-10-03 16:03:02,octomike,0,issue,nno,2016-01-17T18:45:35Z,,close,[],6,4,"['octomike', 'yarikoptic', 'hanke', 'nno']"
celery/billiard#127,6109,2014-11-12 11:46:31,jamescasbon,0,issue,ask,2015-04-17T12:53:41Z,,close,[],3,2,"['jamescasbon', 'ask']"
zeromq/pyzmq#613,6109,,,,issue,minrk,2014-11-10T18:31:51Z,#618,close,['#618'],4,3,"['klaussfreire', 'rainwoodman', 'minrk']"
stan-dev/pystan#142,6109,2015-02-05 05:50:52,kforeman,0,issue,ariddell,2016-06-06T13:54:54Z,,close,[],25,3,"['kforeman', 'ariddell', 'mjwillson']"
jdfreder/notebook_cherry_picker#3,5670,2014-04-18 20:46:56,jdfreder,2,issue,,,,,[],5,2,"['JohnGriffiths', 'jdfreder']"
,,,,,,,,,,,,,
jupyter/nbviewer#211,5084,2014-03-07 00:59:51,ellisonbg,0,pr,,,,,[],7,2,"['ellisonbg', 'rgbkrk']"
,,,,,,,,,,,,,
pydata/pandas#6225,4990,,,,issue,y-p,2014-02-02T05:54:16Z,,close,[],4,2,"['michaelaye', 'y-p']"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
jgm/pandoc#469,4946,,,,issue,jgm,2012-04-06T18:42:44Z,,close,[],20,5,"['cboettig', 'jgm', 'ramnathv', 'kovla', 'KurtPfeifle']"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
pydata/pandas#5221,4791,2014-01-13 17:24:14,y-p,17,issue,jorisvandenbossche,2014-02-24T12:56:13Z,#6441,close,"['#5479', '#5530', '#5925', '#5934', '#6003', '#6441']",21,7,"['jorisvandenbossche', 'jreback', 'jtratner', 'jseabold', 'cpcloud', 'chebee7i', 'y-p']"
pydata/pandas#5925,4791,,,,pr,,,,,"['#5926', '#5934', '#5991', '#5142', '#6185']",13,3,"['y-p', 'jorisvandenbossche', 'jreback']"
swcarpentry/bc#163,4578,,,,pr,,,,,[],21,3,"['gvwilson', 'ahmadia', 'wking']"
JuliaLang/julia#6225,4525,2014-12-12 17:26:09,stevengj,7,issue,jakebolewski,2015-08-11T22:13:55Z,,close,[],9,4,"['stevengj', 'StefanKarpinski', 'JeffBezanson', 'jakebolewski']"
enthought/distarray#51,4296,2013-10-03 03:45:04,bgrant,0,issue,kwmsmith,2014-06-04T17:13:26Z,,close,[],8,3,"['bgrant', 'cowlicks', 'kwmsmith']"
jupyter/nbconvert#78,3589,2015-08-01 15:02:41,akhmerov,1,issue,,,,,['#65'],5,3,"['damianavila', 'akhmerov', 'yadongli']"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Homebrew/homebrew-python#23,3349,2013-06-18 14:58:27,n8henrie,7,issue,samueljohn,2013-10-17T18:38:05Z,,close,[],11,5,"['samueljohn', 'jiffyclub', 'bixuanzju', 'n8henrie', 'amitkot']"
BhallaLab/moose#111,2988,2013-04-10 06:15:03,subhacom,0,issue,dilawar,2016-03-29T04:39:22Z,,close,[],3,2,"['subhacom', 'dilawar']"
blink1073/oct2py#4,2742,,,,issue,blink1073,2013-01-05T11:03:11Z,,close,[],4,2,"['klonuo', 'blink1073']"
spyder-ide/spyder#1082,2438,2015-02-17 17:14:41,spyder-issues-migrator,5,issue,spyder-issues-migrator,2015-02-17T17:14:42Z,,close,[],6,1,['spyder-issues-migrator']
claesenm/optunity#8,2438,2014-07-22 13:17:26,claesenm,0,issue,claesenm,2015-07-10T08:57:56Z,,close,[],5,2,"['claesenm', 'updiversity']"
matplotlib/matplotlib#1126,2380,,,,issue,mdboom,2013-02-11T17:48:58Z,,close,[],13,4,"['taldcroft', 'mdboom', 'efiring', 'bfroehle']"
Linuxbrew/legacy-linuxbrew#1071,2195,2016-04-17 21:19:31,DoomHammer,25,issue,,,,,[],29,7,"['tulindanil', 'sjackman', 'rwhogg', 'maxim-belkin', 'ilovezfs', 'DoomHammer', 'njia']"
neo4j/neo4j#273,2188,2012-11-12 14:03:17,lassewesth,0,issue,jakewins,2014-11-11T23:15:07Z,,close,[],3,2,"['lassewesth', 'jakewins']"
sagemath/sagecell#433,2187,2013-12-12 08:17:41,jasongrout,0,issue,,,,,[],1,1,['jasongrout']
praw-dev/praw#485,1824,2015-08-18 23:17:29,voussoir,2,issue,bboe,2015-08-23T21:04:35Z,,close,['#505'],5,4,"['RGood', '13steinj', 'voussoir', 'bboe']"
edx/edx-platform#3170,1775,2014-04-02 12:13:27,valera-rozuvan,2,pr,,,,,[],7,3,"['valera-rozuvan', 'auraz', 'nedbat']"
,,,,,,,,,,,,,
pydata/pandas#960,1520,,,,issue,adamklein,2012-03-23T19:39:09Z,,close,[],3,2,"['dfarmer', 'adamklein']"
jupyter/qtconsole#76,1392,2016-03-06 06:19:02,dashesy,5,issue,,,,,[],9,3,"['dashesy', 'ccordoba12', 'takluyver']"
jupyter/qtconsole#94,1392,2016-02-29 02:17:58,dashesy,4,issue,,,,,[],6,6,"['taerath', 'takluyver', 'thertz', 'dashesy', 'jrovegno', 'ccordoba12']"
JuliaLang/IJulia.jl#409,1359,2016-02-26 20:34:44,stevengj,1,issue,stevengj,2016-02-26T20:34:50Z,,close,[],2,2,"['SoYman', 'stevengj']"
mathjax/MathJax#71,1313,,,,issue,dpvc,2012-02-27T15:41:39Z,,close,[],28,6,"['slymz', 'dpvc', 'vbeffara', 'fred-wang', 'GrahamDennis', 'emptymalei']"
NSLS-II/bluesky#309,1286,2016-01-30 21:15:47,tacaswell,3,issue,danielballan,2016-01-31T15:37:48Z,,close,[],11,3,"['ambarb', 'tacaswell', 'danielballan']"
sympy/sympy#8140,1255,2014-09-29 09:00:24,ClemensFMN,0,issue,hargup,2015-06-12T14:09:51Z,,close,[],5,3,"['ClemensFMN', 'asmeurer', 'hargup']"
inducer/pudb#30,1241,2012-01-06 04:46:55,asmeurer,0,issue,asmeurer,2012-01-11T14:23:50Z,,close,[],15,3,"['asmeurer', 'inducer', 'takluyver']"
BIDData/BIDMach#31,1198,2015-02-25 18:35:31,helgammal,0,issue,helgammal,2015-02-25T21:07:18Z,,close,[],2,2,"['helgammal', 'jcanny']"
matplotlib/matplotlib#1530,1184,2012-11-24 21:14:53,efiring,1,issue,efiring,2013-05-24T19:28:41Z,bb6e6a9,close,['#1537'],15,4,"['jfmoulin', 'efiring', 'mdboom', 'oliford']"
astropy/astropy#4975,1157,2016-05-25 14:03:11,keflavich,6,pr,,,,,[],9,5,"['keflavich', 'mhvk', 'saimn', 'juliantaylor', 'pllim']"
revolunet/sublimetext-google-apps-scripts#7,1063,2014-02-13 04:07:32,Buravchik,2,issue,,,,,[],18,4,"['Buravchik', 'revolunet', 'richy58729', 'diegoguimaraes']"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
pyinstaller/pyinstaller#631,863,2014-10-18 14:29:07,pyinstaller-tickets-migration,3,issue,matysek,2014-10-18T14:29:08Z,,close,[],6,2,"['pyinstaller-tickets-migration', 'matysek']"
eschulte/emacs24-starter-kit#27,853,2012-06-24 13:59:40,stephenLee,0,issue,eschulte,2012-09-13T22:54:10Z,,close,[],3,2,"['stephenLee', 'eschulte']"
dwb/jsonrpc2-zeromq-python#2,499,2012-08-12 21:21:41,dovf,0,issue,,,,,[],3,2,"['dovf', 'dwb']"
matplotlib/matplotlib#5159,481,2015-10-04 14:21:51,janschulz,22,issue,,,,,[],27,7,"['janschulz', 'WeatherGod', 'tacaswell', 'efiring', 'Tillsten', 'jorisvandenbossche', 'tomderuijter']"
matplotlib/matplotlib#1530,481,,,,issue,efiring,2013-05-24T19:28:41Z,bb6e6a9,close,['#1537'],15,4,"['jfmoulin', 'efiring', 'mdboom', 'oliford']"
h5py/h5py#263,466,2013-02-10 18:13:19,andrewcollette,2,issue,andrewcollette,2013-03-16T17:22:20Z,,close,['#274'],10,4,"['jeffteeters', 'idella', 'andrewcollette', 'ddale']"
zeromq/pyzmq#95,365,,,,pr,minrk,2011-04-12T23:12:08Z,df51703,merge,[],1,1,['minrk']
inducer/pudb#103,62,2014-02-04 00:44:46,takluyver,1,issue,,,,,['#133'],10,4,"['asmeurer', 'takluyver', 'apodemus', 'clebio']"
scrapy/scrapy#794,62,2014-08-14 00:26:07,eliasdorneles,1,issue,pablohoffman,2014-08-22T19:29:51Z,,close,['#856'],4,3,"['andrix', 'eliasdorneles', 'pablohoffman']"
zetaops/pyoko#43,62,2016-01-21 14:39:03,zetaopsbot,0,issue,evrenesat,2016-02-02T09:08:10Z,,close,[],1,2,"['zetaopsbot', 'evrenesat']"
amplab/ray#269,62,2016-07-15 20:34:58,mehrdadn,0,pr,,,,,[],3,2,"['mehrdadn', 'robertnishihara']"
pycassa/pycassa#193,62,2013-04-08 16:50:35,donspaulding,0,issue,thobbs,2014-04-10T20:27:27Z,,close,[],2,2,"['donspaulding', 'thobbs']"
theatlantic/django#1,62,2015-04-24 21:21:57,OaklandPeters,0,pr,OaklandPeters,2015-04-29T19:00:58Z,9dfe12c,merge,[],1,1,['OaklandPeters']
rootpy/rootpy#265,62,2013-04-25 10:53:27,pwaller,0,pr,,,,,[],1,2,"['pwaller', 'ndawe']"
gotcha/ipdb#31,17,2012-09-22 08:04:41,ernop,3,issue,gotcha,2014-12-22T16:41:51Z,,close,[],22,9,"['asfaltboy', 'rafaelolg', 'gotcha', 'ernop', 'tobinvanpelt', 'apelliciari', 'mikofski', 'blink1073', 'axil']"
