number,within_refs,cross_refs,commit_refs
9648,['/ipython/ipython/issues/9655'],[],"['/Carreau/ipython/commit/a6ed1399edd7304c6e84c68374ea56e72a21f42f', '/Carreau/ipython/commit/ad10d99e200e57c0276cd274b2a3cec654530ad7', '/willingc/ipython/commit/0265e06adf19fbde33889885850b1ab4dbf72efe']"
9539,['/ipython/ipython/issues/9546'],[],[]
9391,['/ipython/ipython/issues/9398'],[],['/takluyver/ipython/commit/8398a36f13660a041234e7f25c46e2065edfea0a']
9390,[],[],[]
9379,['/ipython/ipython/issues/9403'],[],"['/Carreau/ipython/commit/d20f33db59c23fed78040162f1c362e64d2337e0', '/Carreau/ipython/commit/d9cf8f3a47f0ba26f713ec04513f75092299572e']"
9361,['/ipython/ipython/issues/9365'],[],['/takluyver/ipython/commit/bcd13d71f7e3cbd6c0adba8bd32e2ace3fde9c9a']
9359,['/ipython/ipython/issues/9360'],[],['/takluyver/ipython/commit/ce499a7d3e3016216bda1e91bcdeea93747e41d8']
9331,['/ipython/ipython/issues/9471'],[],"['/takluyver/ipython/commit/c03bba7ea7bc45a5b6025092a71423c61d255dcd', '/takluyver/ipython/commit/f2b4534e7ad66d4f66fecaee126da9237ca36562', '/takluyver/ipython/commit/06ee4de05f4bfd56fc3eb31bad67520cc91c58b9']"
9244,"['/ipython/ipython/issues/9243', '/ipython/ipython/issues/9246', '/ipython/ipython/issues/9291']",[],"['/ipython/ipython/pull/9244/commits/2d89b93a284331a346117f0ae18158ffafc56e67', '/minrk/ipython/commit/9ac3206114c416a1549a9bcc92b9f3cc9c93fd07']"
9114,[],[],[]
8804,['/ipython/ipython/issues/8805'],['/ludwigschwardt/python-gnureadline/issues/43'],['/ipython/ipython/commit/e2b269a4db1fc6313aef544a463c797e05a214d4']
8791,['/ipython/ipython/issues/9144'],[],['/takluyver/ipython/commit/8cb3dd9709c154c9669b72dee93379872d3fc477']
8776,[],[],[]
8333,[],[],['/ipython/ipython/pull/8333/commits/ca2483b4eff294a0e5e3031ce1f699daf31cbade']
8159,[],[],"['/ipython/ipython/pull/8159/commits/85d64d94cffa064b94b5ffe63df791eab17c07a2', '/ipython/ipython/commit/9ccefc96173b1819ddd015e76f0011ecb5205108']"
8069,[],['/jupyter/notebook/issues/973'],[]
8057,['/ipython/ipython/issues/8059'],[],['/ipython/ipython/commit/d0b699522acbd96a3dbad074c1c70898a76b9d48']
8056,[],[],[]
8055,['/ipython/ipython/issues/8082'],[],[]
8054,"['/ipython/ipython/issues/8134', '/ipython/ipython/issues/8122', '/ipython/ipython/issues/8173']",[],[]
8043,[],[],"['/ipython/ipython/pull/8043/commits/4d2c248bf298933c9e43c7f53784200b90291bd9', '/ipython/ipython/pull/8043/commits/dac90a51673bf1f1c344bc656e61524313ccd508']"
8033,['/ipython/ipython/issues/8043'],[],['/takluyver/ipython/commit/4d2c248bf298933c9e43c7f53784200b90291bd9']
8012,"['/ipython/ipython/issues/8022', '/ipython/ipython/issues/8027']",['/dela3499/assay-explorer/issues/12'],['/ipython/ipython/commit/2aff1ee88cd9dc664e2935e6a5f63e8e8d4bb7d4']
7835,['/ipython/ipython/issues/7836'],[],[]
7829,"['/ipython/ipython/issues/7850', '/ipython/ipython/issues/8700']",[],[]
7790,['/ipython/ipython/issues/8174'],[],['/ipython/ipython/commit/2be7680bb728aee19c5ebe1987cd7468776a5ff1']
7786,[],[],[]
7782,[],['/chjj/term.js/issues/60'],[]
7753,['/ipython/ipython/issues/7754'],[],[]
7714,['/ipython/ipython/issues/7717'],[],[]
7711,[],[],[]
7707,[],['/winpython/winpython/issues/34'],[]
7704,[],[],[]
7698,['/ipython/ipython/issues/7703'],[],[]
7695,['/ipython/ipython/issues/7690'],[],['/ipython/ipython/pull/7695/commits/1eded4515156b2d0f92e0abd4fd30f915a1248a9']
7679,['/ipython/ipython/issues/7680'],[],[]
7657,['/ipython/ipython/issues/7662'],[],[]
7647,['/ipython/ipython/issues/7664'],[],[]
7641,[],[],[]
7619,['/ipython/ipython/issues/7622'],[],[]
7599,[],[],['/ipython/ipython/pull/7599/commits/8250266f958c64dbfde0e631ff6c5b033388838c']
7590,['/ipython/ipython/issues/7597'],[],[]
7566,[],[],[]
7515,['/ipython/ipython/issues/7418'],[],"['/ipython/ipython/pull/7515/commits/9ab96ae4a3c29469abfe6f4f0ac442709f7d71c0', '/ipython/ipython/pull/7515/commits/af52556e1c85bcf6147de0c9ba94abc5a1db3bab', '/ipython/ipython/pull/7515/commits/0ba72b065a53c02a1c8a011f25c587601ed1d2ff']"
7511,['/ipython/ipython/issues/7542'],[],[]
7509,['/ipython/ipython/issues/7523'],[],[]
7485,['/ipython/ipython/issues/7487'],[],['/takluyver/ipython/commit/52bc0c38fda6a4ff90ff661395c518fb146222f5']
7484,['/ipython/ipython/issues/7517'],[],[]
7447,['/ipython/ipython/issues/8442'],[],[]
7436,[],[],"['/ipython/ipython/pull/7436/commits/3996b0e5297326bafb0c3925fb9c297c56ec5a0b', '/ipython/ipython/pull/7436/commits/b854a32e284e54369b7cdd7200a0afa284be922a']"
7431,[],[],[]
7423,['/ipython/ipython/issues/7457'],[],[]
7421,[],[],[]
7418,"['/jupyter-attic/ipython-components/issues/52', '/ipython/ipython/issues/7515']",[],[]
7410,['/ipython/ipython/issues/7468'],[],[]
