number,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
9648,issue,Carreau,2016-06-24T19:05:30Z,#9655,close,['#9655'],4,2,"['fperez', 'Carreau']"
9539,issue,minrk,2016-06-06T19:48:44Z,#9546,close,['#9546'],5,3,"['stonebig', 'takluyver', 'Carreau']"
9391,issue,minrk,2016-04-14T14:49:27Z,#9398,close,['#9398'],8,3,"['fperez', 'takluyver', 'jboucasier']"
9390,issue,takluyver,2016-04-13T19:23:21Z,,close,[],12,3,"['fperez', 'takluyver', 'jonathanslenders']"
9379,issue,minrk,2016-04-15T12:09:58Z,,close,['#9403'],7,5,"['brandonwillard', 'takluyver', 'jonathanslenders', 'minrk', 'Carreau']"
9361,issue,minrk,2016-03-29T15:56:26Z,#9365,close,['#9365'],3,2,"['fperez', 'takluyver']"
9359,issue,takluyver,2016-04-04T17:01:56Z,#9360,close,['#9360'],3,2,"['fperez', 'takluyver']"
9331,issue,Carreau,2016-06-01T20:37:28Z,#9471,close,['#9471'],3,3,"['fperez', 'takluyver', 'minrk']"
9244,pr,minrk,2016-02-18T15:21:27Z,e4b502f,merge,"['#9243', '#9246', '#9291']",1,2,"['takluyver', 'minrk']"
9114,issue,Carreau,2016-05-25T19:21:38Z,,close,[],11,4,"['youyou015', 'takluyver', 'dsblank', 'Carreau']"
8804,issue,Carreau,2015-09-14T16:02:47Z,#8805,close,['#8805'],3,2,"['rouge8', 'minrk']"
8791,issue,Carreau,2016-01-19T21:33:33Z,#9144,close,['#9144'],6,3,"['petrposik', 'Carreau', 'takluyver']"
8776,issue,minrk,2016-01-21T09:12:31Z,,close,[],4,3,"['chrisidefix', 'Carreau', 'minrk']"
8333,pr,,,,,[],1,2,"['takluyver', 'Carreau']"
8159,pr,,,,,[],4,2,"['Carreau', 'minrk']"
8069,issue,minrk,2016-01-19T14:38:27Z,,close,[],6,4,"['neilzimmerman', 'minrk', 'takluyver', 'Carreau']"
8057,issue,Carreau,2015-03-20T20:12:22Z,#8059,close,['#8059'],3,3,"['ellisonbg', 'Carreau', 'minrk']"
8056,issue,takluyver,2015-03-17T18:41:17Z,,close,[],2,2,"['ellisonbg', 'takluyver']"
8055,issue,Carreau,2015-03-19T17:59:49Z,#8082,close,['#8082'],4,4,"['ellisonbg', 'takluyver', 'Carreau', 'minrk']"
8054,issue,minrk,2015-03-30T21:12:33Z,,close,"['#8134', '#8122']",11,6,"['ellisonbg', 'HyperionAnalytics', 'Carreau', 'jdfreder', 'rsmith31415', 'minrk']"
8043,pr,,,,,[],3,2,"['takluyver', 'minrk']"
8033,issue,minrk,2015-03-13T20:26:14Z,#8043,close,['#8043'],1,2,"['Carreau', 'takluyver']"
8012,issue,minrk,2015-03-13T19:25:09Z,2aff1ee,close,['#8027'],1,1,['jdfreder']
7835,issue,Carreau,2015-02-28T18:14:09Z,#7836,close,['#7836'],4,3,"['keszybz', 'takluyver', 'jdfreder']"
7829,issue,takluyver,2015-02-25T00:03:28Z,#7850,close,['#7850'],17,7,"['lmarti', 'damianavila', 'takluyver', 'minrk', 'hsgPU', 'btabibian', 'jdfreder']"
7790,issue,Carreau,2015-03-29T00:49:38Z,#8174,close,['#8174'],1,3,"['ellisonbg', 'jdfreder', 'minrk']"
7786,issue,ellisonbg,2015-02-15T19:22:12Z,,close,[],4,3,"['ellisonbg', 'takluyver', 'minrk']"
7782,issue,fperez,2015-02-14T02:17:18Z,,close,[],5,3,"['fperez', 'takluyver', 'minrk']"
7753,issue,fperez,2015-02-11T22:46:01Z,#7754,close,['#7754'],2,2,"['fperez', 'minrk']"
7714,issue,takluyver,2015-02-09T18:45:20Z,#7717,close,['#7717'],1,2,"['dsblank', 'jdfreder']"
7711,issue,minrk,2015-02-09T23:12:45Z,,close,[],7,4,"['edonyM', 'takluyver', 'minrk', 'jdfreder']"
7707,issue,takluyver,2015-02-09T22:34:42Z,,close,[],12,6,"['ismail', 'blink1073', 'takluyver', 'stonebig', 'jdfreder', 'minrk']"
7704,issue,jdfreder,2015-02-06T21:16:59Z,,close,[],4,1,['jdfreder']
7698,issue,minrk,2015-02-07T22:49:59Z,#7703,close,['#7703'],5,3,"['Carreau', 'minrk', 'jdfreder']"
7695,pr,,,,,['#7690'],2,2,"['takluyver', 'Carreau']"
7679,issue,minrk,2015-02-04T21:51:08Z,#7680,close,['#7680'],3,2,"['SylvainCorlay', 'jdfreder']"
7657,issue,minrk,2015-02-02T23:05:19Z,#7662,close,['#7662'],1,1,['Carreau']
7647,issue,minrk,2015-02-02T22:24:26Z,,close,['#7664'],9,5,"['peter-ch', 'takluyver', 'jdfreder', 'Carreau', 'minrk']"
7641,issue,minrk,2015-01-30T23:46:41Z,,close,[],3,2,"['jdfreder', 'minrk']"
7619,issue,takluyver,2015-01-28T22:30:20Z,#7622,close,['#7622'],1,2,"['dsblank', 'jdfreder']"
7599,pr,,,,,[],3,3,"['minrk', 'Carreau', 'takluyver']"
7590,issue,takluyver,2015-01-26T18:51:15Z,#7597,close,['#7597'],3,2,"['ellisonbg', 'minrk']"
7566,issue,takluyver,2015-01-24T01:14:54Z,,close,[],2,1,['takluyver']
7515,pr,,,,,['#7418'],6,3,"['jhamrick', 'minrk', 'ellisonbg']"
7511,issue,takluyver,2015-01-22T22:35:50Z,#7542,close,['#7542'],3,5,"['jthiem', 'takluyver', 'Carreau', 'ellisonbg', 'minrk']"
7509,issue,minrk,2015-01-23T01:02:59Z,#7523,close,['#7523'],4,3,"['jdfreder', 'takluyver', 'jasongrout']"
7485,issue,minrk,2015-01-17T01:21:24Z,#7487,close,['#7487'],2,2,"['lgretton', 'takluyver']"
7484,issue,jdfreder,2015-01-22T22:50:07Z,#7517,close,['#7517'],8,6,"['mathieu1', 'minrk', 'Carreau', 'ellisonbg', 'takluyver', 'jdfreder']"
7447,issue,minrk,2015-02-10T19:29:00Z,,close,[],12,5,"['mathieu1', 'Carreau', 'minrk', 'jdfreder', 'ellisonbg']"
7436,pr,,,,,[],7,4,"['jfeist', 'takluyver', 'Carreau', 'minrk']"
7431,issue,jdfreder,2015-01-21T21:33:28Z,,close,[],3,4,"['chriddyp', 'takluyver', 'jdfreder', 'minrk']"
7423,issue,takluyver,2015-01-14T19:52:34Z,,close,['#7457'],2,3,"['mathieu1', 'takluyver', 'ellisonbg']"
7421,issue,takluyver,2015-01-11T22:53:03Z,,close,[],4,3,"['fonnesbeck', 'ellisonbg', 'takluyver']"
7418,issue,minrk,2015-01-21T05:23:55Z,#7515,close,"['#52', '#7515']",12,5,"['Carreau', 'minrk', 'mathieu1', 'jhamrick', 'ellisonbg']"
7410,issue,takluyver,2015-01-29T19:30:18Z,#7468,close,['#7468'],1,1,['ellisonbg']
7409,issue,minrk,2015-01-14T20:09:07Z,#7413,close,['#7413'],2,4,"['ellisonbg', 'mathieu1', 'Carreau', 'minrk']"
7408,pr,,,,,[],2,3,"['ccordoba12', 'Carreau', 'ellisonbg']"
7397,pr,,,,,[],6,4,"['jasongrout', 'takluyver', 'Carreau', 'ellisonbg']"
7395,issue,minrk,2015-01-11T19:12:57Z,#7414,close,"['#7414', '#7419']",7,4,"['mathieu1', 'juhasch', 'Carreau', 'ellisonbg']"
7394,issue,Carreau,2015-01-15T08:08:08Z,#7459,close,['#7459'],1,2,"['anthonylouisburns', 'ellisonbg']"
7372,issue,minrk,2015-01-14T20:09:07Z,#7413,close,['#7413'],3,3,"['juhasch', 'Carreau', 'ellisonbg']"
7367,issue,minrk,2015-01-14T18:25:14Z,#7416,close,"['#7416', '#7474']",4,4,"['ccordoba12', 'mathieu1', 'takluyver', 'jdfreder']"
7351,issue,minrk,2015-01-15T17:12:37Z,,close,[],9,4,"['beojan', 'tacaswell', 'minrk', 'ellisonbg']"
7349,issue,takluyver,2015-01-27T19:11:00Z,#7454,close,"['#7350', '#7454']",4,4,"['fperez', 'ellisonbg', 'ptone', 'takluyver']"
7338,issue,Carreau,2015-01-15T08:09:38Z,#7460,close,['#7460'],2,2,"['Carreau', 'ellisonbg']"
7334,issue,minrk,2015-01-13T17:29:12Z,,close,[],7,4,"['jonathon-love', 'Carreau', 'minrk', 'ellisonbg']"
7317,issue,Carreau,2015-01-15T08:20:10Z,#7469,close,['#7469'],4,5,"['Carreau', 'takluyver', 'bigzachattack', 'minrk', 'ellisonbg']"
7304,issue,minrk,2015-01-13T23:53:55Z,,close,[],4,4,"['pmfeldman', 'Carreau', 'minrk', 'ellisonbg']"
7292,issue,ellisonbg,2014-12-27T01:06:13Z,#7307,close,['#7307'],1,3,"['ellisonbg', 'Carreau', 'ivanov']"
7291,issue,Carreau,2015-01-15T08:00:27Z,#7470,close,['#7470'],2,2,"['ellisonbg', 'minrk']"
7289,issue,minrk,2015-01-14T21:46:08Z,,close,[],3,3,"['mmagnuski', 'minrk', 'ellisonbg']"
7276,issue,minrk,2015-07-11T16:43:38Z,,close,[],2,3,"['eyurtsev', 'minrk', 'ellisonbg']"
7265,issue,Carreau,2015-01-15T07:48:01Z,#7443,close,['#7443'],2,2,"['ellisonbg', 'takluyver']"
7237,issue,minrk,2014-12-17T19:06:44Z,#7259,close,"['#7258', '#7259']",5,3,"['ellisonbg', 'takluyver', 'minrk']"
7236,issue,Carreau,2015-01-01T10:01:08Z,#7358,close,['#7358'],5,5,"['ellisonbg', 'Carreau', 'takluyver', 'jdfreder', 'ivanov']"
7232,issue,minrk,2014-12-16T07:10:45Z,#7235,close,['#7235'],1,4,"['ellisonbg', 'jdfreder', 'ivanov', 'minrk']"
7100,issue,Carreau,2015-01-15T11:21:26Z,#7471,close,['#7471'],4,3,"['drevicko', 'ellisonbg', 'minrk']"
7039,issue,Carreau,2016-01-19T19:14:37Z,,close,[],2,4,"['tritemio', 'Carreau', 'ellisonbg', 'minrk']"
6957,issue,jdfreder,2014-11-17T19:09:53Z,#6916,close,['#6916'],2,2,"['Carreau', 'minrk']"
6954,issue,Carreau,2014-11-29T13:23:48Z,,close,['#7055'],3,2,"['juhasch', 'Carreau']"
6918,issue,rgbkrk,2015-01-12T02:23:55Z,,close,['#7016'],4,3,"['rgbkrk', 'ellisonbg', 'Carreau']"
6912,issue,minrk,2015-10-26T14:32:19Z,,close,['#8908'],4,5,"['jeremiahbuddha', 'Fairly', 'minrk', 'takluyver', 'ellisonbg']"
6894,issue,jamescasbon,2014-11-10T19:53:39Z,,close,[],6,3,"['jamescasbon', 'minrk', 'takluyver']"
6893,issue,takluyver,2014-11-12T19:35:06Z,#6902,close,['#6902'],9,4,"['blink1073', 'dsblank', 'takluyver', 'minrk']"
6852,issue,Carreau,2015-01-14T21:57:24Z,#7464,close,['#7464'],5,2,"['Carreau', 'minrk']"
6824,issue,takluyver,2014-11-01T01:05:38Z,#6825,close,['#6825'],2,3,"['ellisonbg', 'minrk', 'takluyver']"
6823,issue,minrk,2014-11-04T04:22:37Z,,close,[],24,5,"['cjm5325', 'minrk', 'takluyver', 'tribbloid', 'frol']"
6814,issue,takluyver,2015-01-27T22:20:59Z,,close,"['#7602', '#7603']",20,7,"['ssunkara1', 'SylvainCorlay', 'jdfreder', 'jasongrout', 'ellisonbg', 'minrk', 'takluyver']"
6804,issue,minrk,2014-10-28T20:38:25Z,#6805,close,"['#5666', '#6805']",6,4,"['erikhvatum', 'takluyver', 'firey-fox', 'Carreau']"
6753,issue,ellisonbg,2015-01-13T03:44:59Z,,close,[],12,5,"['jrjohansson', 'Carreau', 'dsblank', 'ccordoba12', 'ellisonbg']"
6744,issue,minrk,2015-01-12T19:20:36Z,,close,['#7426'],3,5,"['nholtz', 'andram', 'minrk', 'Carreau', 'ellisonbg']"
6726,issue,kalibri1798,2014-10-23T11:39:59Z,,close,"['#6728', '#6729', '#6732']",17,6,"['kalibri1798', 'takluyver', 'Carreau', 'ccordoba12', 'blink1073', 'minrk']"
6724,issue,Carreau,2014-10-18T08:33:49Z,#6727,close,['#6727'],8,3,"['m3nu', 'Carreau', 'takluyver']"
