u_issue,u_reporter,u_author,u_state,u_nfiles,u_total,u_nadd,u_ndel,d_issue,d_reporter,d_author,d_state,d_nfiles,d_total,d_nadd,d_ndel,ref_author
pydata/pandas#6313,hhuuggoo,,closed,1,24,13,11,ContinuumIO/ArrayManagement#7,hhuuggoo,,closed,2,32,20,12,hhuuggoo
pydata/pandas#7284,jd,cpcloud,closed,6,87,55,32,statsmodels/statsmodels#1762,detzom,,closed,,,,,detzom
pydata/pandas#8890,Oxtay,jreback,closed,3,26,25,1,nilmtk/nilmtk#246,nipunbatra,JackKelly,closed,2,391,272,119,JackKelly
pydata/pandas#8951,JackKelly,jreback,closed,3,26,25,1,nilmtk/nilmtk#246,nipunbatra,JackKelly,closed,2,391,272,119,JackKelly
pydata/pandas#9075,lebedov,jreback,closed,5,128,112,16,neurokernel/neurokernel#28,lebedov,lebedov,closed,2,13,5,8,lebedov
pydata/pandas#9079,cpaulik,,closed,3,31,31,0,bokeh/bokeh#1556,damianavila,damianavila,closed,2,10,8,2,jreback
pydata/pandas#9989,astrofrog,,closed,,,,,astropy/astropy#1156,cdeil,taldcroft,closed,2,26,23,3,astrofrog
pypa/pip#2256,rgommers,,closed,,,,,numpy/numpy#5386,maniteja123,jaimefrio,closed,2,14,12,2,rgommers
pypa/pip#3219,rgommers,,open,,,,,numpy/numpy#7127,charris,rgommers,closed,1,2,1,1,rgommers
PyTables/PyTables#151,wesm,,open,,,,,pydata/pandas#626,wesm,,closed,2,16,13,3,wesm
PyTables/PyTables#282,jreback,andreabedini,closed,1,21,21,0,pydata/pandas#5476,kghose,,closed,,,,,jreback
PyTables/PyTables#282,jreback,andreabedini,closed,1,21,21,0,pydata/pandas#5635,TomAugspurger,,closed,,,,,TomAugspurger
PyTables/PyTables#319,jreback,FrancescAlted,closed,2,63,63,0,pydata/pandas#5913,CarstVaartjes,,closed,,,,,CarstVaartjes
PyTables/PyTables#319,jreback,FrancescAlted,closed,2,63,63,0,pydata/pandas#8265,rockg,,closed,,,,,jreback
PyTables/PyTables#319,jreback,FrancescAlted,closed,2,63,63,0,pydata/pandas#9676,alexfields,jreback,closed,5,40,29,11,jreback
PyTables/PyTables#328,jreback,,closed,,,,,pydata/pandas#5999,yarikoptic,jreback,closed,1,5,4,1,jreback
PyTables/PyTables#409,guziy,FrancescAlted,closed,2,63,63,0,pydata/pandas#8265,rockg,,closed,,,,,alexfields
PyTables/PyTables#409,guziy,FrancescAlted,closed,2,63,63,0,pydata/pandas#9676,alexfields,jreback,closed,5,40,29,11,alexfields
PyTables/PyTables#441,FrancescAlted,FrancescAlted,closed,2,35,32,3,pydata/pandas#9676,alexfields,jreback,closed,5,40,29,11,FrancescAlted
python-excel/xlrd#77,jmcnamara,,closed,,,,,pydata/pandas#5945,dershow,jreback,closed,5,100,86,14,jmcnamara
python-excel/xlrd#78,jmcnamara,cjw296,closed,2,204,204,0,pydata/pandas#5945,dershow,jreback,closed,5,100,86,14,jmcnamara
python-pillow/Pillow#350,wiredfool,,open,,,,,scipy/scipy#5285,WarrenWeckesser,rgommers,closed,6,179,127,52,pv
python-pillow/Pillow#990,ccazabon,,closed,,,,,scipy/scipy#4041,WarrenWeckesser,WarrenWeckesser,closed,1,103,52,51,wiredfool
scikit-learn/scikit-learn#2374,ogrisel,GaelVaroquaux,closed,4,88,54,34,paulgb/sklearn-pandas#18,calpaterson,paulgb,closed,1,8,0,8,calpaterson
scikit-learn/scikit-learn#2374,ogrisel,GaelVaroquaux,closed,4,88,54,34,paulgb/sklearn-pandas#2,tdhopper,,closed,,,,,ogrisel
scikit-learn/scikit-learn#2609,jakevdp,,closed,5,122,78,44,MichelleLochner/supernova-machine#6,mkerrwinter,,open,,,,,mkerrwinter
scikit-learn/scikit-learn#2663,ogrisel,ogrisel,closed,3,53,49,4,mne-tools/mne-python#985,dengemann,agramfort,closed,1,9,8,1,dengemann
scikit-learn/scikit-learn#3277,agramfort,agramfort,closed,3,29,24,5,mne-tools/mne-python#1401,dengemann,,closed,,,,,mbillingr
scikit-learn/scikit-learn#3984,davidbrough1,amueller,closed,2,43,35,8,materialsinnovation/pymks#132,wd15,davidbrough1,closed,1,10,7,3,davidbrough1
scikit-learn/scikit-learn#5045,amueller,GaelVaroquaux,closed,2,12,6,6,NixOS/nixpkgs#9146,FRidh,domenkozar,closed,1,64,42,22,FRidh
scipy/scipy#2481,WarrenWeckesser,,closed,,,,,scikit-learn/scikit-learn#3602,gatapia,,closed,,,,,amueller
scipy/scipy#2573,LeeKamentsky,,closed,,,,,CellProfiler/CellProfiler#662,braymp,,closed,,,,,LeeKamentsky
scipy/scipy#2636,NicolasTr,rgommers,closed,2,23,18,5,scikit-learn/scikit-learn#2148,NicolasTr,glouppe,closed,1,21,11,10,15
scipy/scipy#2667,josef-pkt,pv,closed,3,54,44,10,statsmodels/statsmodels#1011,josef-pkt,josef-pkt,closed,2,27,22,5,josef-pkt
scipy/scipy#3025,bretter,thouis,closed,1,32,25,7,scikit-learn/scikit-learn#1968,haroldn,,closed,,,,,juliantaylor
scipy/scipy#3025,bretter,thouis,closed,1,32,25,7,scikit-learn/scikit-learn#4102,vineetp13,,closed,,,,,rvraghav93
scipy/scipy#3194,fonnesbeck,rgommers,closed,3,569,567,2,Homebrew/homebrew-python#139,tdsmith,,closed,,,,,tdsmith
scipy/scipy#3227,rmjarvis,ev-br,closed,2,19,15,4,astropy/astropy#1977,rmjarvis,mdboom,closed,3,893,845,48,rmjarvis
scipy/scipy#3227,rmjarvis,ev-br,closed,2,19,15,4,astropy/astropy#2373,mcara,mdboom,closed,3,893,845,48,mcara
scipy/scipy#3227,rmjarvis,ev-br,closed,2,19,15,4,astropy/astropy#2816,mcara,mdboom,closed,3,893,845,48,mcara
scipy/scipy#3227,rmjarvis,ev-br,closed,2,19,15,4,astropy/pyregion#35,mcara,,open,,,,,mcara
scipy/scipy#3465,larsmans,rgommers,closed,5,101,86,15,scikit-learn/scikit-learn#2969,ogrisel,,open,,,,,larsmans
scipy/scipy#3522,josef-pkt,rgommers,closed,2,7,6,1,statsmodels/statsmodels#1548,jseabold,,closed,,,,,josef-pkt
scipy/scipy#3630,swails,rgommers,closed,2,90,72,18,mdtraj/mdtraj#821,hainm,,closed,,,,,rmcgibbo
scipy/scipy#3630,swails,rgommers,closed,2,90,72,18,Try2Code/cdo-bindings#4,martinclaus,,closed,,,,,martinclaus
scipy/scipy#3802,yarikoptic,rgommers,closed,5,101,70,31,statsmodels/statsmodels#1803,charris,josef-pkt,closed,1,9,6,3,yarikoptic
scipy/scipy#3810,josef-pkt,argriffing,closed,8,691,178,513,statsmodels/statsmodels#1838,jbrockmendel,,open,,,,,josef-pkt
scipy/scipy#3853,cgohlke,charris,closed,1,18,9,9,Homebrew/homebrew-python#178,stonemirror,tdsmith,closed,1,7,7,0,tdsmith
scipy/scipy#4142,ogrisel,stefanv,closed,2,57,45,12,scikit-learn/scikit-learn#2986,ogrisel,ogrisel,closed,4,563,543,20,ogrisel
scipy/scipy#4233,revoltek,pv,closed,4,100,85,15,TUW-GEO/pytesmo#51,cpaulik,cpaulik,closed,2,97,90,7,cpaulik
scipy/scipy#4290,anderspitman,argriffing,closed,2,12,10,2,biocore/scikit-bio#514,wasade,johnchase,closed,2,33,21,12,anderspitman
scipy/scipy#4293,argriffing,argriffing,closed,2,12,10,2,biocore/scikit-bio#514,wasade,johnchase,closed,2,33,21,12,anderspitman
scipy/scipy#4293,argriffing,argriffing,closed,2,12,10,2,scikit-learn/scikit-learn#4014,argriffing,,closed,,,,,argriffing
scipy/scipy#4895,argriffing,argriffing,closed,4,2090,805,1285,nipy/dipy#652,argriffing,,closed,,,,,argriffing
scipy/scipy#5173,rgommers,rgommers,closed,1,33,0,33,Homebrew/homebrew-python#252,jiegec,jiegec,closed,1,8,4,4,tdsmith
scipy/scipy#5301,giorgiop,,closed,,,,,scikit-learn/scikit-learn#4475,cel4,,open,,,,,giorgiop
scipy/scipy#5575,boegel,,closed,,,,,hpcugent/easybuild-easyconfigs#2181,boegel,boegel,closed,4,95,95,0,boegel
scipy/scipy#5882,saulomeirelles,,closed,,,,,wesleybowman/UTide#30,saulomeirelles,,open,,,,,saulomeirelles
sphinx-doc/sphinx#1822,jschueller,shimizukawa,closed,1,2,1,1,scikit-learn/scikit-learn#4737,amueller,,closed,,,,,shoyer
sphinx-doc/sphinx#1892,Eric89GXL,shimizukawa,closed,1,2,1,1,scikit-learn/scikit-learn#4737,amueller,,closed,,,,,jschueller
swig/swig#92,cdeil,badshah400,closed,1,3,2,1,scipy/scipy#2944,rgommers,rgommers,closed,51,467558,1173,466385,cdeil
zeromq/pyzmq#613,klaussfreire,minrk,closed,1,8,8,0,ipython/ipython#6109,khadiwala,,closed,,,,,khadiwala
zeromq/pyzmq#95,minrk,minrk,closed,1,17,13,4,ipython/ipython#365,minrk,minrk,closed,2,13,11,2,minrk
