u_issue,u_reporter,u_author,u_state,u_nfiles,u_total,u_nadd,u_ndel,d_issue,d_reporter,d_author,d_state,d_nfiles,d_total,d_nadd,d_ndel,ref_author
ipython/ipython#4578,ahmadia,takluyver,closed,4,74,68,6,swcarpentry/bc#163,gvwilson,,closed,,,,,ahmadia
ipython/ipython#4791,y-p,takluyver,closed,1,6,5,1,pydata/pandas#5221,jorisvandenbossche,jorisvandenbossche,closed,5,21,19,2,y-p
ipython/ipython#4791,y-p,takluyver,closed,1,6,5,1,pydata/pandas#5925,y-p,y-p,closed,2,662,383,279,y-p
ipython/ipython#4990,y-p,takluyver,closed,4,74,72,2,pydata/pandas#6225,michaelaye,,closed,,,,,y-p
ipython/ipython#5670,jdfreder,minrk,closed,3,18,17,1,jdfreder/notebook_cherry_picker#3,JohnGriffiths,,open,,,,,jdfreder
ipython/ipython#6109,khadiwala,,closed,,,,,PyMVPA/PyMVPA#249,octomike,,closed,,,,,octomike
ipython/ipython#62,ipython,,closed,,,,,inducer/pudb#103,asmeurer,,open,,,,,takluyver
ipython/ipython#62,ipython,,closed,,,,,scrapy/scrapy#794,andrix,kmike,closed,1,16,8,8,eliasdorneles
ipython/ipython#6262,mwaskom,Carreau,closed,2,8,4,4,mwaskom/seaborn#246,mwaskom,,closed,,,,,mwaskom
ipython/ipython#6893,blink1073,takluyver,closed,2,4,3,1,Calysto/metakernel#51,dsblank,,closed,,,,,blink1073
ipython/ipython#7276,eyurtsev,,closed,,,,,matplotlib/matplotlib#3932,eyurtsev,,closed,,,,,eyurtsev
ipython/ipython#7408,ccordoba12,Carreau,closed,1,9,5,4,spyder-ide/spyder#2108,spyder-issues-migrator,,closed,,,,,spyder-issues-migrator
ipython/ipython#863,cool-RR,minrk,closed,1,1,1,0,pyinstaller/pyinstaller#631,pyinstaller-tickets-migration,,closed,,,,,pyinstaller-tickets-migration
jaraco/path.py#102,nedbat,jaraco,closed,2,17,7,10,ipython/ipython#8776,chrisidefix,,closed,,,,,chrisidefix
jaraco/setuptools#28,rouge8,jaraco,closed,2,4,4,0,ipython/ipython#8804,rouge8,Carreau,closed,1,24,22,2,rouge8
jgm/pandoc#469,cboettig,,closed,,,,,ipython/ipython#4946,jdfreder,minrk,closed,1,2,0,2,jdfreder
joblib/joblib#103,venuktan,,open,,,,,scikit-learn/scikit-learn#2713,venuktan,,closed,,,,,arjoly
joblib/joblib#105,bthirion,GaelVaroquaux,closed,2,74,67,7,scikit-learn/scikit-learn#1565,amueller,ogrisel,closed,6,107,92,15,ogrisel
joblib/joblib#192,lesteve,GaelVaroquaux,closed,10,99,88,11,scikit-learn/scikit-learn#3596,ogrisel,ogrisel,closed,8,103,68,35,lesteve
joblib/joblib#198,dave1g,,open,,,,,scikit-learn/scikit-learn#4430,dave1g,,closed,,,,,dave1g
joblib/joblib#214,ogrisel,lesteve,closed,3,42,37,5,scikit-learn/scikit-learn#4597,DonBeo,amueller,closed,2,41,35,6,ogrisel
joblib/joblib#258,mfrodl,lesteve,closed,2,28,27,1,scikit-learn/scikit-learn#5412,amueller,,closed,,,,,mfrodl
joblib/joblib#44,ogrisel,ogrisel,closed,1,7,1,6,scikit-learn/scikit-learn#1142,ogrisel,,closed,,,,,ogrisel
joblib/joblib#44,ogrisel,ogrisel,closed,1,7,1,6,scikit-learn/scikit-learn#998,buma,,closed,,,,,ogrisel
joblib/joblib#51,abhirk,,closed,,,,,scikit-learn/scikit-learn#1414,abhirk,,closed,,,,,abhirk
joblib/joblib#57,lsartran,,open,,,,,scikit-learn/scikit-learn#4127,wizeman,,closed,,,,,wizeman
joblib/joblib#66,mblondel,,open,,,,,scikit-learn/scikit-learn#1414,abhirk,,closed,,,,,ogrisel
joblib/joblib#75,dohmatob,ogrisel,closed,2,17,15,2,scikit-learn/scikit-learn#1565,amueller,ogrisel,closed,6,107,92,15,ogrisel
liberfa/erfa#4,taldcroft,,closed,,,,,astropy/astropy#1031,taldcroft,eteq,closed,3,5810,5256,554,eteq
mathjax/MathJax#795,eteq,,open,,,,,astropy/astropy#2286,eteq,mdboom,closed,1,3,2,1,eteq
matplotlib/matplotlib#166,ddale,,closed,,,,,pymc-devs/pymc3#491,amelio-vazquez-reina,,closed,,,,,amelio-vazquez-reina
matplotlib/matplotlib#2356,ChrisBeaumont,dmcdougall,closed,2,25,23,2,pydata/pandas#5517,aseyboldt,TomAugspurger,closed,3,39,38,1,jorisvandenbossche
matplotlib/matplotlib#2357,ChrisBeaumont,dmcdougall,closed,2,25,23,2,pydata/pandas#5517,aseyboldt,TomAugspurger,closed,3,39,38,1,jorisvandenbossche
matplotlib/matplotlib#2419,cpcloud,,closed,,,,,pydata/pandas#4789,yarikoptic,cpcloud,closed,4,63,46,17,cpcloud
matplotlib/matplotlib#3392,kratsg,tacaswell,closed,4,68,59,9,uqfoundation/dill#4,niallrobinson,,closed,,,,,mmckerns
matplotlib/matplotlib#3569,tacaswell,mdboom,closed,1,27,24,3,pydata/pandas#8240,onesandzeroes,onesandzeroes,closed,3,14,12,2,onesandzeroes
matplotlib/matplotlib#3571,tacaswell,mdboom,closed,1,27,24,3,pydata/pandas#8240,onesandzeroes,onesandzeroes,closed,3,14,12,2,tacaswell
matplotlib/matplotlib#3574,tonysyu,tacaswell,closed,3,25,25,0,tonysyu/mpltools#23,marcusps,,open,,,,,tonysyu
matplotlib/matplotlib#4323,anntzer,efiring,closed,1,12,9,3,mwaskom/seaborn#508,anntzer,,closed,,,,,anntzer
matplotlib/matplotlib#4421,tritemio,efiring,closed,6,23,22,1,mwaskom/seaborn#557,tritemio,,closed,,,,,tritemio
matplotlib/matplotlib#4855,mdboom,mdboom,closed,1,22,19,3,astropy/astropy#4030,mdboom,embray,closed,2,10,8,2,mdboom
nose-devs/nose#58,jpellerin,,open,,,,,scipy/scipy#4741,argriffing,pv,closed,2,62,61,1,rgommers
numpy/numpy#1611,thouis,,open,,,,,pydata/pandas#3781,danielballan,,closed,,,,,hayd
numpy/numpy#2056,thouis,charris,closed,2,23,22,1,scipy/scipy#3354,josef-pkt,,closed,,,,,josef-pkt
numpy/numpy#2432,numpy-gitbot,mdboom,closed,1,3,1,2,astropy/astropy#465,astrofrog,,closed,,,,,mdboom
numpy/numpy#2485,numpy-gitbot,charris,closed,2,59,59,0,pydata/pandas#6166,wabu,jreback,closed,3,30,25,5,jreback
numpy/numpy#2655,numpy-gitbot,,closed,,,,,scipy/scipy#3330,ev-br,"rgommers,pv",closed,1,6,208,134,pv
numpy/numpy#2694,seberg,njsmith,closed,13,331,154,177,scikit-learn/scikit-learn#1406,erg,glouppe,closed,4,2957,1760,1197,seberg
numpy/numpy#2704,wesm,seberg,closed,8,454,400,54,pydata/pandas#2096,wesm,wesm,closed,3,26,23,3,wesm
numpy/numpy#2747,mdboom,njsmith,closed,2,15,13,2,astropy/astropy#465,astrofrog,,closed,,,,,mdboom
numpy/numpy#2770,GaelVaroquaux,njsmith,closed,13,222,193,29,scikit-learn/scikit-learn#1406,erg,glouppe,closed,4,2957,1760,1197,GaelVaroquaux
numpy/numpy#2969,mrjbq7,njsmith,closed,2,8,8,0,scikit-learn/scikit-learn#1663,mrjbq7,,closed,,,,,mrjbq7
numpy/numpy#2969,mrjbq7,njsmith,closed,2,8,8,0,scikit-learn/scikit-learn#1715,dan-vine,,closed,,,,,erg
numpy/numpy#3001,stephenwlin,charris,closed,4,172,126,46,pydata/pandas#2892,dsm054,,closed,,,,,stephenwlin
numpy/numpy#3175,megies,seberg,closed,1,15,8,7,obspy/obspy#536,megies,krischer,closed,1,2,1,1,megies
numpy/numpy#3259,gbb,charris,closed,4,185,136,49,pfnet/chainer#125,beam2d,delta2323,closed,2,13,10,3,beam2d
numpy/numpy#3368,WarrenWeckesser,jennystone,closed,2,13,6,7,scipy/scipy#2673,ghost,rgommers,closed,3,300,217,83,WarrenWeckesser
numpy/numpy#3399,WarrenWeckesser,charris,closed,1,18,9,9,scipy/scipy#2682,cowlicks,,closed,,,,,WarrenWeckesser
