number,within_refs,cross_refs,commit_refs
6368,['/scipy/scipy/issues/6369'],[],['/scipy/scipy/pull/6368/commits/3752df21ef01ac2ac44df2990881e4a99e7e1d53']
6351,['/scipy/scipy/issues/6318'],[],['/scipy/scipy/pull/6351/commits/53742ebdf56352a3389fcfb013ab67beb5dc70e5']
6330,[],[],['/scipy/scipy/pull/6330/commits/095061b65d8cb79eba3c57ca6069f534f69b0db5']
6323,['/scipy/scipy/issues/6351'],[],['/scipy/scipy/pull/6323/commits/806ddddc7f37f9b93555e28723f00c7b5581e605']
6318,['/scipy/scipy/issues/6323'],[],"['/scipy/scipy/commit/e0b067f1841b49d64c4837be27897afbbf3010bf', '/scipy/scipy/commit/806ddddc7f37f9b93555e28723f00c7b5581e605', '/karischoonbee/scipy/commit/53742ebdf56352a3389fcfb013ab67beb5dc70e5', '/ev-br/scipy/commit/162c1f7c78b1c592369815d69356803ad3d07eea']"
6316,"['/scipy/scipy/issues/6330', '/scipy/scipy/issues/6098']",[],[]
6309,['/scipy/scipy/issues/6306'],[],"['/scipy/scipy/pull/6309/commits/611095fb958904aa9eddf8992d9559578670de2c', '/scipy/scipy/pull/6309/commits/ae256ec5de004642da722f9b583ccfcdf28f9d96']"
6306,['/scipy/scipy/issues/6309'],[],"['/WarrenWeckesser/scipy/commit/63b309c948e84742500fc64291d7203c367b56f1', '/WarrenWeckesser/scipy/commit/611095fb958904aa9eddf8992d9559578670de2c']"
6295,['/scipy/scipy/issues/6292'],[],['/scipy/scipy/pull/6295/commits/badb7e3d2cb9cb5406d01cf7880c60e7ae47766a']
6292,['/scipy/scipy/issues/6295'],[],[]
6263,['/scipy/scipy/issues/6285'],[],"['/bhavikat/scipy/commit/7fc1bba96d6ef8ceee28c70a1224839c6777e925', '/bhavikat/scipy/commit/a32d36f3dc1e54771479ab83ccaaa921733de8f8', '/bhavikat/scipy/commit/eb69b0d9b0a7849a06d49403b92ab282a05d5da9']"
6246,"['/scipy/scipy/issues/6163', '/scipy/scipy/issues/6235', '/scipy/scipy/issues/6227']",[],['/scipy/scipy/pull/6246/commits/80cc6f0fcb5e8afa0609208af382d7b1fd0f1023']
6235,['/scipy/scipy/issues/6246'],[],['/pbrod/scipy/commit/80cc6f0fcb5e8afa0609208af382d7b1fd0f1023']
6229,['/scipy/scipy/issues/6165'],[],['/scipy/scipy/pull/6229/commits/a2f7788f978f52ee029ebf3c73111f451c2689cc']
6222,['/scipy/scipy/issues/6223'],[],[]
6205,[],[],[]
6194,['/scipy/scipy/issues/6207'],[],[]
6189,['/scipy/scipy/issues/6196'],[],"['/innisfree/scipy/commit/f1b744bbd221b93cb233f5c960af646e3ee5b0cf', '/timcera/scipy/commit/02ea91c2d5585dd337edca10e578e6946ccbb61e']"
6184,['/scipy/scipy/issues/6090'],[],['/scipy/scipy/pull/6184/commits/485d1f046823de5d34a07e97c7661266424589e1']
6180,[],"['/mwaskom/seaborn/issues/909', '/mwaskom/seaborn/issues/930']",[]
6167,"['/scipy/scipy/issues/6235', '/scipy/scipy/issues/6237', '/scipy/scipy/issues/6246']",[],"['/pbrod/scipy/commit/1aed15db51e489300421bdf7140d8c8017f06c33', '/scipy/scipy/commit/80cc6f0fcb5e8afa0609208af382d7b1fd0f1023']"
6165,['/scipy/scipy/issues/6229'],[],[]
6162,['/scipy/scipy/issues/6240'],[],[]
6160,[],[],"['/scipy/scipy/pull/6160/commits/960bffcaee05ba9b57c2db1f100ca0d0462208c4', '/scipy/scipy/pull/6160/commits/fb9b862cfa4f918ff9552fe15b6a2b570fa44d20']"
6148,['/scipy/scipy/issues/6134'],[],"['/scipy/scipy/pull/6148/commits/26c041e8610b85d7de32ae0632d0306222cff54b', '/scipy/scipy/pull/6148/commits/e45e5bb33778c6a9a71fc36be59ca6169e6c3d8f', '/scipy/scipy/pull/6148/commits/8a73e2f67565762cd543194c3d025fea0bec6d20', '/scipy/scipy/pull/6148/commits/d8f085c6e4906cc076405a7e695cafc87f609150', '/scipy/scipy/pull/6148/commits/68e56feb0f186a64e23310c257915ccf2d20bd4f']"
6136,['/scipy/scipy/issues/6214'],[],[]
6134,"['/scipy/scipy/issues/6140', '/scipy/scipy/issues/6148']",[],[]
6132,['/scipy/scipy/issues/6135'],['/ContinuumIO/anaconda-issues/issues/804'],"['/ewmoore/scipy/commit/7b30736ec6f11fbe1d078fce4332f06f39d0fb4d', '/ev-br/scipy/commit/a81e57c96b1842cca6478bcf63c205b161b49957']"
6128,['/scipy/scipy/issues/6130'],[],[]
6100,"['/scipy/scipy/issues/6062', '/scipy/scipy/issues/6156']",['/biocore/scikit-bio/issues/1259'],['/scipy/scipy/pull/6100/commits/b9c60fd2a3678a1cc879d175af3956413f7b4d3f']
6093,"['/scipy/scipy/issues/6293', '/scipy/scipy/issues/6360']",[],"['/ev-br/scipy/commit/d205cbac1cd8123cda27804c64d767d6d26aef70', '/ev-br/scipy/commit/7d111e5cc1a264fe75af06f7c0edd941463cb8d6']"
6090,['/scipy/scipy/issues/6184'],[],[]
6072,['/scipy/scipy/issues/6209'],[],[]
6070,['/scipy/scipy/issues/6017'],[],"['/scipy/scipy/pull/6070/commits/7671eee60855482c36339b821dfafa6a2fa2b849', '/scipy/scipy/pull/6070/commits/a5104bd0dd6faa3593515dcebc4ca7c042162657', '/scipy/scipy/pull/6070/commits/9954bce9c55235d15bba563db7801a82bea11460', '/scipy/scipy/commit/fa3bfb902099b1a465b82c71b5bdca34e04c6b00']"
6062,['/scipy/scipy/issues/6100'],['/biocore/scikit-bio/issues/1259'],[]
6056,['/scipy/scipy/issues/6260'],[],"['/e-q/scipy/commit/a813ba1bb206f2cb6a66c1661602b43ab9a1ca44', '/e-q/scipy/commit/01fe67921c61bdc88776a0e8ed4ddbbeefa6047c']"
6044,['/scipy/scipy/issues/6055'],['/EconForge/dolo/issues/88'],"['/scipy/scipy/pull/6044/commits/54d4cf695405256e703fbbde01f01851800d79b9', '/scipy/scipy/pull/6044/commits/a19d213b14445ce31f5a8e7be911f4f14fa7b15c', '/scipy/scipy/pull/6044/commits/5a161192f23599d020b983f83479112634d815b8', '/scipy/scipy/pull/6044/commits/314c13ec5f6cf315f2cffa80811e782c219ee240', '/scipy/scipy/pull/6044/commits/24f6c159603a6a2d17c9bfbd3119d3eed0066f9f', '/scipy/scipy/pull/6044/commits/56c497c53113a4133fa477504976307bb4889288', '/scipy/scipy/pull/6044/commits/7701dcece7057f68c3121d09683e7dd1e1de648e', '/scipy/scipy/commit/02d3ab054e7fc62ececfd7509d3ed5a481d55238']"
6033,['/scipy/scipy/issues/6016'],[],['/scipy/scipy/pull/6033/commits/1fbd1b4cbc6ed9d3d4af0048186735c3d5be88c2']
6027,[],[],[]
6024,"['/scipy/scipy/issues/5743', '/scipy/scipy/issues/6350']",[],"['/scipy/scipy/pull/6024/commits/db343b85053f365dc9a747923328d4e062375d34', '/scipy/scipy/pull/6024/commits/0eafa14d0cc9923f966fd2222fb98facd901f1c3', '/scipy/scipy/pull/6024/commits/655123cb34f96892b9fa2595f3df3ec47afbe993']"
6017,['/scipy/scipy/issues/6070'],[],[]
6011,[],[],[]
6008,['/scipy/scipy/issues/6009'],[],[]
5990,"['/scipy/scipy/issues/1930', '/scipy/scipy/issues/6184']",[],"['/scipy/scipy/pull/5990/commits/adbdee6364419b6dd129843e8c147d7d9498ab67', '/rgommers/scipy/commit/485d1f046823de5d34a07e97c7661266424589e1', '/nmayorov/scipy/commit/47fecf15aafa3d499ba1f6716efbab84534b807d', '/timcera/scipy/commit/072f735e8fa50fb0c871c10196d34c1dc063d9f7']"
5972,['/scipy/scipy/issues/5983'],[],['/Tiepies/scipy/commit/e7bc915ac526444c4871f0caf2129f9dbeb009ed']
