ref_issue,number,ref_time,ref_author,ref_comment,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
nipy/dipy#652,4895,2015-05-19 23:45:15,argriffing,0,pr,,,,,[],13,5,"['argriffing', 'arokem', 'pv', 'Garyfallidis', 'alexbrc']"
numpy/numpy#5895,4895,,,,issue,,,,,[],1,1,['pv']
numpy/numpy#6892,4885,2015-12-28 18:37:28,Eric89GXL,2,pr,charris,2015-12-28T18:50:55Z,ecbcbe0,merge,[],7,3,"['Eric89GXL', 'charris', 'rgommers']"
numpy/numpy#5232,4813,,,,issue,jaimefrio,2014-10-26T13:16:03Z,,close,[],4,4,"['markwmuller', 'argriffing', 'juliantaylor', 'jaimefrio']"
cython/cython#56,4736,,,,pr,robertwb,2011-08-21T04:34:05Z,237050b,merge,[],1,2,"['markflorisson', 'robertwb']"
numpy/numpy#5906,4736,2015-06-03 21:06:40,insertinterestingnamehere,35,issue,,,,,[],37,8,"['njsmith', 'argriffing', 'pv', 'xianyi', 'tkelman', 'juliantaylor', 'insertinterestingnamehere', 'nalimilan']"
nipy/dipy#688,4643,2015-08-26 23:26:29,arokem,7,issue,hassemlal,2015-10-15T18:46:26Z,,close,"['#707', '#708']",18,5,"['hassemlal', 'arokem', 'hanke', 'stefanv', 'Garyfallidis']"
nipy/dipy#688,4523,2015-08-26 23:26:29,arokem,7,issue,hassemlal,2015-10-15T18:46:26Z,,close,"['#707', '#708']",18,5,"['hassemlal', 'arokem', 'hanke', 'stefanv', 'Garyfallidis']"
numpy/numpy#5365,4410,,,,pr,,,,,"['#5316', '#5656', '#6377']",18,6,"['cournape', 'juliantaylor', 'pv', 'charris', 'njsmith', 'rgommers']"
ContinuumIO/anaconda-issues#245,4400,2015-01-23 05:00:48,xiaoweiz,0,issue,xiaoweiz,2015-02-08T11:15:23Z,,close,[],2,1,['xiaoweiz']
argriffing/scipy#3,4293,,,,pr,argriffing,2014-12-18T19:39:25Z,b5aeaf5,merge,[],1,2,"['larsmans', 'argriffing']"
scikit-learn/scikit-learn#4014,4293,2014-12-27 19:45:33,argriffing,0,issue,argriffing,2014-12-28T19:23:05Z,,close,[],2,2,"['argriffing', 'rgommers']"
biocore/scikit-bio#514,4293,2014-12-18 23:49:01,anderspitman,5,issue,jairideout,2015-02-19T17:13:04Z,3759071,close,['#853'],10,6,"['wasade', 'smdabdoub', 'anderspitman', 'jairideout', 'johnchase', 'ebolyen']"
biocore/scikit-bio#514,4290,2014-12-18 17:20:54,anderspitman,4,issue,jairideout,2015-02-19T17:13:04Z,3759071,close,['#853'],10,6,"['wasade', 'smdabdoub', 'anderspitman', 'jairideout', 'johnchase', 'ebolyen']"
numpy/numpy#5365,4241,,,,pr,,,,,"['#5316', '#5656', '#6377']",18,6,"['cournape', 'juliantaylor', 'pv', 'charris', 'njsmith', 'rgommers']"
numpy/numpy#5352,4238,2014-12-06 21:48:11,argriffing,0,issue,,,,,[],2,1,['argriffing']
TUW-GEO/pytesmo#51,4233,2015-07-08 16:14:39,cpaulik,0,issue,cpaulik,2015-07-08T23:57:55Z,426d3dc,close,[],1,1,['cpaulik']
numpy/numpy#2951,4106,,,,issue,charris,2014-03-25T18:05:08Z,,close,[],5,5,"['dmvianna', 'njsmith', 'pv', 'seberg', 'charris']"
Homebrew/homebrew-python#110,4105,2014-11-23 14:07:05,pv,5,issue,,,,,[],9,6,"['samueljohn', 'iMichka', 'tdsmith', 'michaelwimmer', 'pv', 'seanfarley']"
flame/blis#42,4105,2016-03-01 19:11:31,insertinterestingnamehere,18,pr,,,,,['#43'],23,4,"['insertinterestingnamehere', 'njsmith', 'tkelman', 'jeffhammond']"
numpy/numpy#5223,4105,,,,pr,,,,,"['#5752', '#6349']",6,3,"['sturlamolden', 'charris', 'juliantaylor']"
numpy/numpy#4007,4105,2014-10-27 04:01:01,sturlamolden,150,issue,juliantaylor,2014-10-26T16:20:24Z,,close,"['#5205', '#5223', '#5237', '#5752', '#5831']",156,17,"['piskvorky', 'juliantaylor', 'fbkarsdorp', 'pv', 'charris', 'w4nderlust', 'andytwigg', 'seberg', 'omar-florez', 'ogrisel', 'smeylan', 'matthew-brett', 'rgommers', 'sturlamolden', 'rgbkrk', 'stackflow2', 'mcg1969']"
numpy/numpy#5237,4105,2014-10-27 07:40:45,sturlamolden,1,pr,,,,,['#4007'],30,6,"['sturlamolden', 'njsmith', 'charris', 'matthew-brett', 'juliantaylor', 'rgommers']"
Homebrew/homebrew-python#110,4104,,,,issue,,,,,[],9,6,"['samueljohn', 'iMichka', 'tdsmith', 'michaelwimmer', 'pv', 'seanfarley']"
numpy/numpy#5223,4104,,,,pr,,,,,"['#5752', '#6349']",6,3,"['sturlamolden', 'charris', 'juliantaylor']"
numpy/numpy#4007,4104,2014-10-27 04:01:01,sturlamolden,150,issue,juliantaylor,2014-10-26T16:20:24Z,,close,"['#5205', '#5223', '#5237', '#5752', '#5831']",156,17,"['piskvorky', 'juliantaylor', 'fbkarsdorp', 'pv', 'charris', 'w4nderlust', 'andytwigg', 'seberg', 'omar-florez', 'ogrisel', 'smeylan', 'matthew-brett', 'rgommers', 'sturlamolden', 'rgbkrk', 'stackflow2', 'mcg1969']"
python-pillow/Pillow#990,4041,2014-11-05 17:10:04,wiredfool,1,issue,wiredfool,2014-11-19T20:30:21Z,,close,[],2,2,"['ccazabon', 'wiredfool']"
numpy/numpy#5073,4018,2014-09-23 15:57:46,argriffing,4,issue,seberg,2014-09-15T19:27:01Z,,close,[],5,2,"['argriffing', 'seberg']"
numpy/numpy#5097,4014,2014-09-22 14:24:46,argriffing,0,issue,charris,2014-09-25T23:51:09Z,#5113,close,['#5113'],5,4,"['argriffing', 'pv', 'ewmoore', 'jaimefrio']"
numpy/numpydoc#27,3882,2014-08-20 05:51:22,rgommers,1,issue,rgommers,2014-08-20T05:51:22Z,,close,[],2,2,"['stringhamc', 'rgommers']"
numpy/numpy#4972,3882,2014-08-18 17:42:20,rgommers,3,issue,rgommers,2014-08-18T17:42:20Z,,close,[],4,4,"['nuwan600', 'astrofrog', 'embray', 'rgommers']"
Homebrew/homebrew-python#178,3853,2014-11-16 04:58:00,tdsmith,2,issue,tdsmith,2014-11-16T05:31:08Z,991d5db,close,['#191'],4,2,"['stonemirror', 'tdsmith']"
scikit-learn/scikit-learn#4787,3819,2015-05-29 04:17:21,bnaul,0,pr,,,,,[],3,2,"['bnaul', 'amueller']"
numpy/numpy#4733,3810,,,,issue,charris,2014-05-22T22:40:30Z,#4735,close,"['#4735', '#4748']",1,1,['argriffing']
statsmodels/statsmodels#1838,3810,2014-07-19 08:16:33,josef-pkt,6,issue,,,,,[],8,2,"['jbrockmendel', 'josef-pkt']"
statsmodels/statsmodels#1803,3802,,,,issue,josef-pkt,2014-07-18T05:36:46Z,#1832,close,"['#1801', '#1832']",9,3,"['charris', 'josef-pkt', 'yarikoptic']"
erikd/libsndfile#70,3778,2014-07-09 09:58:48,mgeier,2,issue,erikd,2014-07-11T23:43:53Z,,close,[],7,2,"['mgeier', 'erikd']"
bastibe/PySoundFile#55,3778,2014-07-10 08:32:03,mgeier,0,pr,bastibe,2014-07-15T11:49:42Z,1828cd0,merge,['#56'],11,2,"['mgeier', 'bastibe']"
numpy/numpy#4681,3733,,,,issue,charris,2015-10-13T19:50:20Z,,close,[],36,6,"['seberg', 'juliantaylor', 'argriffing', 'njsmith', 'charris', 'cgohlke']"
mdtraj/mdtraj#821,3630,2015-05-08 07:59:13,rmcgibbo,2,issue,rmcgibbo,2015-05-08T07:59:13Z,,close,[],3,2,"['hainm', 'rmcgibbo']"
numpy/numpy#4703,3630,2014-05-14 08:39:38,gauteh,6,issue,pv,2014-05-14T08:51:00Z,,close,[],8,4,"['gauteh', 'charris', 'juliantaylor', 'pv']"
,,,,,,,,,,,,,
Try2Code/cdo-bindings#4,3630,2014-10-10 07:57:42,martinclaus,1,issue,Try2Code,2014-12-03T09:34:25Z,,close,['#6'],6,2,"['martinclaus', 'Try2Code']"
