number,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
6368,pr,,,,,[],10,4,"['ev-br', 'pv', 'matthew-brett', 'person142']"
6351,pr,,,,,['#6318'],3,2,"['karischoonbee', 'ev-br']"
6330,pr,,,,,[],2,3,"['pv', 'rgommers', 'ev-br']"
6323,pr,,,,,[],5,3,"['karischoonbee', 'person142', 'ev-br']"
6318,issue,ev-br,2016-07-07T18:09:14Z,,close,['#6323'],16,2,"['karischoonbee', 'ev-br']"
6316,issue,rgommers,2016-06-30T07:21:45Z,#6330,close,['#6330'],18,6,"['stonebig', 'ev-br', 'charris', 'cgohlke', 'pv', 'rgommers']"
6309,pr,,,,,['#6306'],3,2,"['WarrenWeckesser', 'ev-br']"
6306,issue,ev-br,2016-06-27T11:21:51Z,#6309,close,['#6309'],5,3,"['andresfduque', 'tpudlik', 'WarrenWeckesser']"
6295,pr,,,,,['#6292'],3,2,"['ev-br', 'perimosocordiae']"
6292,issue,perimosocordiae,2016-06-21T21:00:31Z,#6295,close,['#6295'],4,2,"['matthew-brett', 'ev-br']"
6263,issue,rgommers,2016-06-19T17:44:10Z,#6285,close,['#6285'],1,2,"['WarrenWeckesser', 'rgommers']"
6246,pr,,,,,"['#6235', '#6227']",5,3,"['pbrod', 'ev-br', 'rgommers']"
6235,issue,rgommers,2016-06-17T08:43:47Z,,close,['#6246'],5,2,"['pbrod', 'rgommers']"
6229,pr,,,,,['#6165'],9,3,"['ev-br', 'dlax', 'nmayorov']"
6222,issue,rgommers,2016-06-12T07:26:51Z,#6223,close,['#6223'],3,3,"['kodonnell', 'ev-br', 'rgommers']"
6205,issue,WarrenWeckesser,2016-06-03T16:04:50Z,,close,[],2,2,"['ambevill', 'WarrenWeckesser']"
6194,issue,pv,2016-06-05T12:16:46Z,#6207,close,['#6207'],3,3,"['misho88', 'ev-br', 'pv']"
6189,issue,rgommers,2016-06-04T16:26:09Z,d9ef3be,close,['#6196'],2,2,"['innisfree', 'rgommers']"
6184,pr,,,,,['#6090'],14,4,"['rgommers', 'endolith', 'pv', 'Eric89GXL']"
6180,issue,rgommers,2016-06-15T19:34:17Z,,close,[],3,3,"['olgabot', 'nmayorov', 'rgommers']"
6167,issue,rgommers,2016-06-17T08:43:02Z,80cc6f0,close,"['#6237', '#6246']",14,6,"['zym1010', 'josef-pkt', 'WarrenWeckesser', 'pbrod', 'ev-br', 'rgommers']"
6165,issue,dlax,2016-06-15T06:44:44Z,#6229,close,['#6229'],8,4,"['Chris7', 'rgommers', 'pv', 'ev-br']"
6162,issue,argriffing,2016-06-16T18:30:10Z,,close,['#6240'],4,3,"['jonasrauber', 'argriffing', 'ev-br']"
