ref_issue,number,ref_time,ref_author,ref_comment,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
spacetelescope/synphot_refactor#92,5183,2016-07-14 20:38:24,pllim,0,pr,,,,,[],1,1,['pllim']
spacetelescope/synphot_refactor#94,5183,2016-07-17 01:36:49,pllim,0,issue,pllim,2016-07-19T20:59:58Z,5775b32,close,[],1,1,['pllim']
spacetelescope/stsynphot_refactor#20,5178,2016-07-14 19:53:49,pllim,0,pr,,,,,[],1,1,['pllim']
spacetelescope/stsynphot_refactor#21,5178,2016-07-17 02:19:38,pllim,0,pr,,,,,[],2,2,"['pllim', 'coveralls']"
spacetelescope/synphot_refactor#91,5178,2016-07-14 19:52:08,pllim,0,pr,pllim,2016-07-14T20:43:22Z,f1fcccc,merge,[],1,1,['pllim']
spacetelescope/synphot_refactor#93,5178,2016-07-15 21:35:29,pllim,0,pr,,,,,"['#94', 'spacetelescope/stsynphot_refactor#21']",2,2,"['pllim', 'coveralls']"
desihub/desispec#212,5125,2016-06-28 22:09:11,sbailey,6,pr,,,,,"['#220', '#20']",7,3,"['sbailey', 'weaverba137', 'tskisner']"
astropy/astroplan#35,5069,,,,issue,,,,,"['#39', '#167']",5,5,"['bmorris3', 'cdeil', 'eteq', 'bsipocz', 'jberlanga']"
eteq/astropy#40,5024,,,,pr,,,,,[],2,2,"['mhvk', 'eteq']"
spacetelescope/synphot_refactor#85,5017,2016-06-03 20:09:45,pllim,0,issue,pllim,2016-07-14T20:43:22Z,#91,close,['#91'],1,1,['pllim']
spacetelescope/synphot_refactor#84,5017,2016-06-02 21:14:06,pllim,0,pr,,,,,[],4,2,"['pllim', 'coveralls']"
spacetelescope/stsynphot_refactor#16,4977,,,,pr,,,,,[],1,1,['pllim']
radio-astro-tools/spectral-cube#301,4962,2016-05-25 13:49:03,keflavich,0,pr,,,,,[],5,3,"['keflavich', 'coveralls', 'astrofrog']"
numpy/numpy#7651,4954,,,,pr,,,,,['#7648'],7,3,"['ewmoore', 'mhvk', 'charris']"
