number,issue_rel,rel_time,rel_author,rel_comment,type
5183,astropy/astropy#5178,2016-07-16 11:07:44,mhvk,0,within
5183,astropy/astropy#5187,2016-07-18 19:29:26,mhvk,7,within
5178,astropy/astropy#5017,2016-07-14 20:10:02,pllim,0,within
5178,astropy/astropy#5183,2016-07-16 11:09:03,mhvk,8,within
5164,astropy/astropy#5162,2016-07-08 11:02:25,saimn,0,within
5162,astropy/astropy#4616,2016-07-07 11:13:51,saimn,0,within
5158,astropy/astropy#5127,2016-07-06 03:48:42,larrybradley,0,within
5158,astropy/astropy#5127,2016-07-06 13:38:38,pllim,1,within
5156,astropy/astropy#4133,2016-07-05 21:17:35,adrn,0,within
5156,astropy/astropy#5157,2016-07-06 15:33:24,adrn,3,within
5153,astropy/astropy#3240,2016-07-03 18:19:16,adrn,0,within
5153,astropy/astropy#3240,2016-07-07 20:50:14,mhvk,8,within
5125,astropy/astropy#5118,2016-06-22 07:44:23,astrofrog,0,within
5121,astropy/astropy#4262,2016-06-20 17:19:10,mhvk,7,within
5121,astropy/astropy#5030,2016-06-20 17:19:10,mhvk,7,within
5121,astropy/astropy#5030,2016-06-21 15:54:47,mhvk,13,within
5121,astropy/astropy#5030,2016-06-22 01:27:10,eteq,15,within
5098,astropy/astropy#5099,2016-06-15 11:10:37,saimn,3,within
5098,astropy/astropy#5111,2016-06-17 14:54:18,taldcroft,19,within
5098,astropy/astropy#5111,2016-06-18 21:49:13,eteq,22,within
5098,astropy/astropy#5111,2016-06-20 07:17:38,saimn,23,within
5096,astropy/astropy#3380,2016-06-15 07:02:18,olebole,0,within
5096,astropy/astropy#3486,2016-06-15 07:02:18,olebole,0,within
5096,astropy/astropy#5080,2016-06-15 09:08:33,astrofrog,1,within
5087,astropy/astropy#5053,2016-06-13 15:23:49,pllim,6,within
5085,astropy/astropy#5069,2016-06-13 10:03:21,StuartLittlefair,0,within
5085,astropy/astropy#5088,2016-06-15 08:06:09,StuartLittlefair,3,within
5085,astropy/astropy#5088,2016-06-15 16:10:54,eteq,4,within
5079,astropy/astropy#5076,2016-06-12 15:04:33,bsipocz,0,within
5074,astropy/astropy#5072,2016-06-11 13:22:12,astrofrog,0,within
5074,astropy/astropy#5072,2016-06-11 14:22:42,astrofrog,1,within
5072,astropy/astropy#5051,2016-06-11 12:54:40,astrofrog,0,within
5072,astropy/astropy#5074,2016-06-11 13:22:36,astrofrog,2,within
5072,astropy/astropy#5074,2016-06-11 13:40:38,taldcroft,3,within
5072,astropy/astropy#5074,2016-06-11 13:46:30,taldcroft,4,within
5072,astropy/astropy#5074,2016-06-11 13:49:01,astrofrog,5,within
5069,astropy/astroplan#35,2016-06-10 20:18:04,bmorris3,0,cross
5069,astropy/astropy#5085,2016-06-13 10:06:47,StuartLittlefair,2,within
5069,astropy/astropy#4926,2016-06-13 10:06:47,StuartLittlefair,2,within
5069,astropy/astropy#5085,2016-06-15 00:58:08,eteq,3,within
5069,astropy/astropy#4926,2016-06-15 00:58:08,eteq,3,within
5068,astropy/astropy#5049,2016-06-10 19:53:03,mhvk,0,within
5068,astropy/astropy#5049,2016-06-10 20:12:57,eteq,1,within
5063,astropy/astropy#4786,2016-06-10 11:31:06,saimn,1,within
5063,astropy/astropy#4786,2016-06-10 11:38:29,embray,3,within
5063,astropy/astropy#4786,2016-06-10 12:06:33,saimn,6,within
5063,astropy/astropy#4786,2016-06-10 12:52:50,embray,7,within
5063,astropy/astropy#4786,2016-06-10 13:30:12,astrofrog,10,within
5063,astropy/astropy#5035,2016-06-12 05:19:32,eteq,15,within
5053,astropy/astropy#4974,2016-06-09 22:16:54,mwcraig,0,within
5051,astropy/astropy#4896,2016-06-09 19:00:17,taldcroft,0,within
5051,astropy/astropy#5072,2016-06-11 12:51:53,astrofrog,22,within
5051,astropy/astropy#5074,2016-06-11 12:51:53,astrofrog,22,within
5030,astropy/astropy#5015,2016-06-03 16:50:07,mhvk,0,within
5030,astropy/astropy#3822,2016-06-03 17:23:42,mhvk,2,within
