number,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
5183,pr,,,,,['#5178'],9,4,"['mhvk', 'pllim', 'adrn', 'astrobot']"
5178,issue,mhvk,2016-07-21T13:01:00Z,,close,['#5183'],12,2,"['pllim', 'mhvk']"
5164,pr,,,,,[],13,3,"['saimn', 'pllim', 'nden']"
5162,issue,nden,2016-07-18T19:38:30Z,#5164,close,['#5164'],2,2,"['saimn', 'pllim']"
5158,pr,,,,,[],5,3,"['larrybradley', 'pllim', 'bsipocz']"
5156,pr,,,,,"['#5157', '#4133', 'astropy/package-template#184', 'astropy/astropy-helpers#245']",8,4,"['adrn', 'eteq', 'pllim', 'astrobot']"
5153,pr,,,,,[],11,3,"['adrn', 'mhvk', 'pllim']"
5125,pr,,,,,[],4,4,"['astrofrog', 'eteq', 'parejkoj', 'pllim']"
5121,pr,,,,,[],16,5,"['marcopigg', 'astrofrog', 'pllim', 'mhvk', 'eteq']"
5118,pr,,,,,[],3,3,"['parejkoj', 'pllim', 'astrofrog']"
5106,pr,,,,,['#4395'],5,3,"['registerrier', 'mhvk', 'astrofrog']"
5098,issue,saimn,2016-06-20T07:17:38Z,,close,['#5111'],24,4,"['saimn', 'astrofrog', 'taldcroft', 'eteq']"
5096,issue,astrofrog,2016-07-05T09:56:28Z,,close,[],5,2,"['olebole', 'astrofrog']"
5087,issue,astrofrog,2016-06-14T12:01:14Z,#5091,close,['#5091'],10,3,"['nden', 'pllim', 'mwcraig']"
5085,pr,,,,,"['#5069', '#5088']",5,4,"['StuartLittlefair', 'mhvk', 'eteq', 'astrofrog']"
5079,issue,astrofrog,2016-06-13T17:57:58Z,#5084,close,['#5084'],11,4,"['bsipocz', 'astrofrog', 'matthew-brett', 'eteq']"
5074,pr,,,,,[],2,2,"['astrofrog', 'taldcroft']"
5072,pr,,,,,['#4896'],8,2,"['astrofrog', 'taldcroft']"
5070,pr,mhvk,2016-07-04T16:36:43Z,86e924b,merge,[],9,4,"['mhvk', 'adrn', 'eteq', 'astrofrog']"
5069,issue,eteq,2016-06-15T00:57:18Z,#5085,close,"['astropy/astroplan#167', '#5085']",4,4,"['bmorris3', 'astrofrog', 'StuartLittlefair', 'eteq']"
5068,pr,,,,,"['#5071', '#4542']",5,2,"['mhvk', 'eteq']"
5063,pr,,,,,[],18,5,"['embray', 'saimn', 'astrofrog', 'eteq', 'mhvk']"
5056,pr,astrofrog,2016-06-10T06:42:38Z,8ff17f7,merge,[],1,3,"['larrybradley', 'pllim', 'astrofrog']"
5053,pr,astrofrog,2016-06-10T17:49:04Z,e967062,merge,"['#4395', '#5087', 'astropy/ccdproc#358', '#4639']",8,4,"['mwcraig', 'embray', 'astrofrog', 'pllim']"
5051,pr,astrofrog,2016-06-10T22:35:18Z,2470cd3,merge,"['#4896', '#5059']",23,5,"['taldcroft', 'mhvk', 'pllim', 'bsipocz', 'astrofrog']"
5038,pr,,,,,[],1,3,"['saimn', 'astrofrog', 'pllim']"
5036,pr,,,,,[],14,3,"['MSeifert04', 'mhvk', 'pllim']"
5030,pr,,,,,['#5015'],14,4,"['mhvk', 'pllim', 'eteq', 'astrofrog']"
5024,pr,,,,,[],7,3,"['eteq', 'mhvk', 'astrofrog']"
5021,pr,astrofrog,2016-06-03T22:58:41Z,ad895b9,merge,['#5022'],8,2,"['eteq', 'astrofrog']"
5017,pr,,,,,['#5178'],6,3,"['mhvk', 'pllim', 'astrofrog']"
