number,issue_rel,rel_time,rel_author,rel_comment,type
7853,numpy/numpy#7844,2016-07-20 17:26:13,charris,0,within
7853,pydata/pandas#13684,2016-07-20 20:34:48,cgohlke,3,cross
7853,pydata/pandas#13684,2016-07-20 22:12:38,njsmith,6,cross
7844,numpy/numpy#4619,2016-07-18 05:58:27,cgohlke,0,within
7844,numpy/numpy#7736,2016-07-18 05:58:27,cgohlke,0,within
7844,numpy/numpy#7853,2016-07-20 17:28:29,charris,13,within
7822,numpy/numpy#7340,2016-07-18 10:26:57,simongibbons,1,within
7821,numpy/numpy#7817,2016-07-11 00:39:13,charris,0,within
7819,numpy/numpy#7813,2016-07-10 19:35:35,cgohlke,0,within
7819,numpy/numpy#7813,2016-07-10 19:37:19,cgohlke,1,within
7819,numpy/numpy#7820,2016-07-10 21:05:37,charris,4,within
7819,numpy/numpy#7817,2016-07-10 21:18:17,charris,5,within
7819,numpy/numpy#7820,2016-07-10 21:18:17,charris,5,within
7819,numpy/numpy#7515,2016-07-10 21:57:45,charris,8,within
7819,numpy/numpy#7813,2016-07-10 22:54:05,cgohlke,9,within
7816,numpy/numpy#7463,2016-07-10 17:12:18,charris,0,within
7816,numpy/numpy#7813,2016-07-10 17:12:18,charris,0,within
7813,numpy/numpy#7463,2016-07-10 12:13:10,seberg,31,within
7813,numpy/numpy#7816,2016-07-10 17:14:28,charris,32,within
7813,numpy/numpy#7816,2016-07-10 18:03:32,charris,33,within
7809,CellProfiler/CellProfiler#2113,2016-07-07 21:03:08,emmenlau,2,cross
7793,numpy/numpy#5706,2016-06-30 14:45:07,charris,0,within
7793,numpy/numpy#7515,2016-06-30 14:45:07,charris,0,within
7793,numpy/numpy#7509,2016-06-30 14:45:07,charris,0,within
7788,numpy/numpy#7790,2016-06-30 00:27:45,ahaldane,3,within
7788,numpy/numpy#7790,2016-06-30 15:43:55,jzwinck,4,within
7760,numpy/numpy#5200,2016-06-18 19:19:47,charris,0,within
7760,numpy/numpy#6601,2016-06-18 22:30:53,charris,4,within
7757,numpy/numpy#7756,2016-06-18 01:17:01,charris,0,within
7757,numpy/numpy#7175,2016-06-18 01:17:01,charris,0,within
7747,numpy/numpy#7672,2016-06-15 18:09:13,charris,0,within
7737,numpy/numpy#7735,2016-06-12 20:21:27,charris,0,within
7737,numpy/numpy#7707,2016-06-12 20:21:27,charris,0,within
7735,numpy/numpy#7707,2016-06-12 19:37:57,rgommers,0,within
7724,numpy/numpy#7710,2016-06-10 14:14:20,charris,0,within
7719,numpy/numpy#7710,2016-06-09 12:17:21,simongibbons,0,within
7714,numpy/numpy#7710,2016-06-07 18:26:13,charris,12,within
7712,numpy/numpy#7686,2016-06-07 07:56:34,krischer,0,within
7710,numpy/numpy#6,2016-06-06 18:42:07,asanakoy,0,within
7710,numpy/numpy#3,2016-06-06 18:42:07,asanakoy,0,within
7710,numpy/numpy#5,2016-06-06 18:42:07,asanakoy,0,within
7710,numpy/numpy#7,2016-06-06 18:42:07,asanakoy,0,within
7710,numpy/numpy#8,2016-06-06 18:42:07,asanakoy,0,within
7710,numpy/numpy#1,2016-06-06 18:42:07,asanakoy,0,within
7710,numpy/numpy#4,2016-06-06 18:42:07,asanakoy,0,within
7710,numpy/numpy#2,2016-06-06 18:42:07,asanakoy,0,within
7710,numpy/numpy#7710,2016-06-06 20:56:34,njsmith,7,within
7688,numpy/numpy#4208,2016-05-27 19:26:24,rgommers,1,within
7678,numpy/numpy#7601,2016-05-26 11:45:50,lesteve,0,within
7676,numpy/numpy#7675,2016-05-25 15:40:48,charris,0,within
7675,numpy/numpy#7674,2016-05-25 13:12:44,rkern,0,within
7672,numpy/numpy#7747,2016-06-15 18:12:10,charris,4,within
7671,numpy/numpy#7669,2016-05-24 18:17:33,charris,0,within
7671,numpy/numpy#7666,2016-05-24 18:17:33,charris,0,within
7670,numpy/numpy#7667,2016-05-24 16:35:56,charris,0,within
7670,numpy/numpy#7628,2016-05-24 16:35:56,charris,0,within
7669,numpy/numpy#7666,2016-05-24 16:30:29,seberg,0,within
7667,numpy/numpy#7628,2016-05-24 10:18:27,rkern,0,within
7665,numpy/numpy#7621,2016-05-23 18:15:09,charris,0,within
7665,numpy/numpy#7658,2016-05-23 18:15:09,charris,0,within
7665,numpy/numpy#6748,2016-05-23 18:15:09,charris,0,within
7662,python3/37380717#37380717,2016-05-23 03:12:24,victoriastuart,0,cross
7660,numpy/numpy#6053,2016-05-22 22:20:21,ahaldane,0,within
7660,numpy/numpy#7493,2016-05-22 22:20:21,ahaldane,0,within
7659,numpy/numpy#6053,2016-05-22 22:10:25,ahaldane,0,within
7659,numpy/numpy#7493,2016-05-22 22:10:25,ahaldane,0,within
7658,numpy/numpy#7621,2016-05-22 22:03:12,saimn,0,within
7648,numpy/numpy#7449,2016-05-19 12:47:22,ewmoore,2,within
7648,numpy/numpy#7459,2016-05-19 12:47:22,ewmoore,2,within
7648,numpy/numpy#7651,2016-05-19 19:42:56,ewmoore,5,within
7628,numpy/numpy#6100,2016-05-12 14:27:32,rkern,0,within
7628,numpy/numpy#6100,2016-05-16 08:15:49,rkern,7,within
7628,numpy/numpy#6100,2016-05-16 11:01:25,astrofrog,8,within
7618,numpy/numpy#6847,2016-05-11 04:17:21,ahaldane,0,within
7618,numpy/numpy#7548,2016-05-11 04:17:21,ahaldane,0,within
7606,numpy/numpy#7634,2016-05-14 17:15:06,rgommers,1,within
7590,numpy/numpy#7572,2016-04-29 20:03:52,charris,0,within
7586,numpy/numpy#7585,2016-04-28 23:06:09,eric-wieser,0,within
7586,numpy/numpy#7588,2016-04-29 17:21:58,eric-wieser,3,within
7586,numpy/numpy#7267,2016-04-29 18:19:39,ahaldane,4,within
7586,numpy/numpy#7260,2016-04-29 18:19:39,ahaldane,4,within
7586,numpy/numpy#7267,2016-04-29 18:29:57,ahaldane,5,within
7585,numpy/numpy#7586,2016-05-02 15:37:31,charris,5,within
7584,numpy/numpy#7572,2016-04-28 10:24:57,ssbarnea,0,within
7583,numpy/numpy#7581,2016-05-02 15:42:34,charris,6,within
7576,numpy/numpy#7576,2016-04-27 23:42:55,njsmith,11,within
7576,numpy/numpy#7584,2016-04-28 10:26:55,ssbarnea,13,within
7565,numpy/numpy#7563,2016-04-20 14:32:00,tadeu,0,within
7565,numpy/numpy#7563,2016-05-06 16:59:57,tadeu,1,within
7558,numpy/numpy#7353,2016-04-18 16:35:48,charris,0,within
7549,numpy/numpy#5597,2016-04-15 00:07:01,njsmith,1,within
7530,numpy/numpy#7528,2016-04-08 16:15:43,charris,0,within
7515,numpy/numpy#5706,2016-04-05 18:45:20,ahaldane,0,within
7515,numpy/numpy#7509,2016-04-05 18:45:20,ahaldane,0,within
7506,numpy/numpy#7499,2016-04-04 18:32:27,charris,0,within
7496,numpy/numpy#7405,2016-04-01 18:58:44,ewmoore,0,within
7493,numpy/numpy#6094,2016-05-11 19:54:00,ahaldane,1,within
7493,numpy/numpy#6053,2016-05-15 16:45:21,ahaldane,3,within
7493,numpy/numpy#6094,2016-05-15 16:45:21,ahaldane,3,within
7493,numpy/numpy#6094,2016-05-15 16:54:08,ahaldane,4,within
7493,numpy/numpy#6053,2016-05-22 02:08:17,charris,5,within
7493,numpy/numpy#6053,2016-05-22 02:45:38,ahaldane,6,within
7482,numpy/numpy#6672,2016-03-29 12:06:18,simongibbons,0,within
7468,numpy/numpy#7466,2016-03-27 09:26:22,jaimefrio,0,within
7468,numpy/numpy#7407,2016-03-27 09:26:22,jaimefrio,0,within
7463,numpy/numpy#7451,2016-03-26 15:19:46,seberg,0,within
7462,numpy/numpy#7462,2016-03-26 03:22:06,denfromufa,3,within
7462,numpy/numpy#6465,2016-03-26 03:39:14,shoyer,4,within
7439,numpy/numpy#7428,2016-03-20 13:37:13,seberg,0,within
7439,numpy/numpy#7439,2016-03-24 19:36:41,seberg,2,within
7439,numpy/numpy#7428,2016-03-25 16:28:00,arokem,5,within
7425,numpy/numpy#7416,2016-03-16 19:46:13,madphysicist,0,within
7425,numpy/numpy#7423,2016-03-16 19:46:13,madphysicist,0,within
7423,numpy/numpy#7416,2016-03-16 18:48:02,madphysicist,4,within
7423,numpy/numpy#7416,2016-03-16 18:56:21,madphysicist,7,within
7423,numpy/numpy#7425,2016-03-16 19:47:40,madphysicist,9,within
7416,numpy/numpy#7411,2016-03-14 17:25:54,madphysicist,0,within
7416,numpy/numpy#7423,2016-03-16 18:21:31,madphysicist,5,within
7412,numpy/numpy#7402,2016-03-12 17:44:33,charris,0,within
7407,numpy/numpy#7402,2016-03-10 23:17:17,seberg,0,within
7404,numpy/numpy#26530,2016-03-11 22:57:16,haypo,18,within
7373,numpy/numpy#7061,2016-03-03 19:16:53,charris,2,within
7373,numpy/numpy#5250,2016-03-13 23:26:31,xflr6,14,within
7373,numpy/numpy#4696,2016-03-13 23:26:31,xflr6,14,within
7362,numpy/numpy#1447,2016-02-28 17:05:35,charris,2,within
7362,numpy/numpy#1477,2016-02-28 17:09:11,seberg,3,within
7362,numpy/numpy#1477,2016-05-05 11:09:45,janfb,5,within
7358,numpy/numpy#7354,2016-02-27 23:26:13,chiffa,0,within
7358,numpy/numpy#7353,2016-02-27 23:26:13,chiffa,0,within
7358,numpy/numpy#7357,2016-02-27 23:26:13,chiffa,0,within
7358,numpy/numpy#7358,2016-04-18 20:13:40,WeatherGod,26,within
7351,numpy/numpy#5706,2016-02-26 18:32:40,ahaldane,0,within
7350,numpy/numpy#5706,2016-02-26 18:23:53,ahaldane,0,within
7350,numpy/numpy#5706,2016-03-04 23:29:03,ahaldane,6,within
7350,numpy/numpy#7350,2016-03-05 01:10:40,njsmith,8,within
7350,numpy/numpy#5706,2016-03-07 20:44:13,ahaldane,11,within
7350,numpy/numpy#5706,2016-06-13 14:48:17,charris,15,within
7349,numpy/numpy#5706,2016-02-26 18:16:37,ahaldane,0,within
7337,numpy/numpy#7336,2016-02-25 05:25:49,jakirkham,0,within
7336,numpy/numpy#7335,2016-02-25 04:47:41,njsmith,0,within
7336,numpy/numpy#6453,2016-02-25 04:47:41,njsmith,0,within
7336,numpy/numpy#7324,2016-02-25 04:47:41,njsmith,0,within
7336,numpy/numpy#6453,2016-02-25 04:54:56,shoyer,3,within
7336,numpy/numpy#6453,2016-02-25 05:10:39,njsmith,4,within
7336,numpy/numpy#7337,2016-02-25 05:26:35,jakirkham,5,within
7336,numpy/numpy#7338,2016-02-25 05:46:54,jakirkham,7,within
7336,numpy/numpy#7337,2016-02-25 18:40:10,charris,8,within
7332,numpy/numpy#6744,2016-02-24 20:52:02,simongibbons,0,within
7325,pydata/pandas#12644,2016-02-24 03:33:08,gfyoung,0,cross
7325,numpy/numpy#12644,2016-02-24 03:33:08,gfyoung,0,within
7325,numpy/numpy#7325,2016-03-21 13:55:38,shoyer,21,within
7325,scipy/scipy#5987,2016-03-21 14:38:29,gfyoung,22,cross
7323,numpy/numpy#7316,2016-02-23 22:03:48,cgohlke,0,within
7323,numpy/numpy#7324,2016-02-23 22:22:12,charris,2,within
7323,numpy/numpy#7331,2016-02-24 16:35:28,charris,3,within
7316,numpy/numpy#7337,2016-02-27 17:32:23,charris,2,within
7316,numpy/numpy#7331,2016-02-27 17:32:23,charris,2,within
7316,numpy/numpy#7324,2016-02-27 17:32:23,charris,2,within
7312,numpy/numpy#5706,2016-02-22 23:07:28,ahaldane,4,within
7312,numpy/numpy#5706,2016-02-23 08:26:43,astrofrog,6,within
7312,numpy/numpy#4619,2016-03-07 01:17:33,charris,11,within
7312,numpy/numpy#5706,2016-04-04 21:08:31,homu,14,within
7308,numpy/numpy#1,2016-02-23 11:04:44,madphysicist,15,within
7297,numpy/numpy#7224,2016-02-21 03:56:05,charris,0,within
7297,numpy/numpy#7258,2016-02-21 03:56:05,charris,0,within
7287,numpy/numpy#6243,2016-02-23 20:26:35,juliantaylor,2,within
7287,numpy/numpy#6243,2016-02-23 20:32:35,njsmith,3,within
7287,numpy/numpy#7655,2016-05-22 02:25:43,charris,20,within
7287,numpy/numpy#7656,2016-06-30 07:18:29,boegel,21,within
7285,pydata/pandas#12390,2016-02-19 13:06:18,jreback,4,cross
7285,numpy/numpy#7284,2016-02-19 13:06:18,jreback,4,within
7278,numpy/numpy#7269,2016-02-18 18:49:50,gfyoung,0,within
7274,numpy/numpy#7113,2016-02-18 10:17:23,gfyoung,0,within
7271,numpy/numpy#7203,2016-02-17 23:57:27,ahaldane,0,within
7271,numpy/numpy#7254,2016-02-17 23:57:27,ahaldane,0,within
7271,numpy/numpy#7284,2016-02-19 04:32:03,gfyoung,1,within
7266,numpy/numpy#7264,2016-02-17 00:13:09,ahaldane,0,within
7266,numpy/numpy#7264,2016-02-17 05:56:51,ahaldane,2,within
7266,numpy/numpy#7233,2016-02-17 20:46:58,anntzer,5,within
7264,numpy/numpy#12,2016-02-16 18:54:05,anntzer,2,within
7264,numpy/numpy#6,2016-02-16 18:54:05,anntzer,2,within
7264,numpy/numpy#3,2016-02-16 18:54:05,anntzer,2,within
7264,numpy/numpy#5,2016-02-16 18:54:05,anntzer,2,within
7264,numpy/numpy#7,2016-02-16 18:54:05,anntzer,2,within
7264,numpy/numpy#8,2016-02-16 18:54:05,anntzer,2,within
7264,numpy/numpy#9,2016-02-16 18:54:05,anntzer,2,within
7264,numpy/numpy#10,2016-02-16 18:54:05,anntzer,2,within
7264,numpy/numpy#14,2016-02-16 18:54:05,anntzer,2,within
7264,numpy/numpy#1,2016-02-16 18:54:05,anntzer,2,within
7264,numpy/numpy#11,2016-02-16 18:54:05,anntzer,2,within
7264,numpy/numpy#4,2016-02-16 18:54:05,anntzer,2,within
