number,within_refs,cross_refs,commit_refs
7853,"['/numpy/numpy/issues/7844', '/numpy/numpy/issues/7870', '/numpy/numpy/issues/6103']",[],['/numpy/numpy/pull/7853/commits/b9b42ee958db9882c6490311aa47395b4b5e5922']
7844,['/numpy/numpy/issues/7853'],['/pydata/pandas/issues/13684'],"['/charris/numpy/commit/456316a6e1e21ff0aa2fabf5316cd0cf8cece250', '/numpy/numpy/commit/b9b42ee958db9882c6490311aa47395b4b5e5922', '/charris/numpy/commit/5361d6967f8fb512088f210d1bf78457c8f79400']"
7839,[],[],"['/numpy/numpy/pull/7839/commits/52e09e86cf4085cbfed90d81606566a282162554', '/numpy/numpy/pull/7839/commits/ab4f8284086a74c372802b62bb276fabb05308c7']"
7822,[],[],[]
7821,[],[],"['/numpy/numpy/pull/7821/commits/e965ebdce731c9fd0bb7756af112b53ce06f59ed', '/numpy/numpy/pull/7821/commits/df68e2e7dad4c5446b2fc232ac78ad22ba877153']"
7819,[],[],[]
7818,[],[],['/numpy/numpy/pull/7818/commits/e65375ecea3edf6afca34b2ef523d64f25285bf5']
7817,"['/numpy/numpy/issues/7819', '/numpy/numpy/issues/7821']",[],"['/numpy/numpy/pull/7817/commits/2d24f8a41da440b53ffe953de14c2e1117df07f0', '/numpy/numpy/pull/7817/commits/b6ed5b24e6edf7627d212216df963e120d20347f']"
7816,['/numpy/numpy/issues/7813'],[],"['/numpy/numpy/pull/7816/commits/af0beedb9962f8cf50a3161699a2cc90fe0eb977', '/numpy/numpy/pull/7816/commits/66be3ab2424bbf23c1cc219425d9939e8cdc6875']"
7814,[],[],"['/numpy/numpy/pull/7814/commits/80554576b8fc4642ea42bf026641948d98b97162', '/numpy/numpy/pull/7814/commits/2c9420f8b4f26540699cd2c1e41f647c2934e6e2']"
7813,"['/numpy/numpy/issues/7816', '/numpy/numpy/issues/7819', '/numpy/numpy/issues/7820', '/numpy/numpy/issues/7824']",[],"['/charris/numpy/commit/8e720775de3eda46794dfee8fd015c7e085ae7a7', '/charris/numpy/commit/3e396148edfe91214c7baa03492f523ca53680e8', '/charris/numpy/commit/c7b5fad058befba3ba07f325a3c8fc6bc2c07b2e']"
7809,[],['/CellProfiler/CellProfiler/issues/2113'],['/emmenlau/numpy/commit/e65375ecea3edf6afca34b2ef523d64f25285bf5']
7793,[],[],['/numpy/numpy/pull/7793/commits/b775376ed55de118b66d71eb535c6ce8ac570d50']
7788,['/numpy/numpy/issues/7790'],[],"['/numpy/numpy/pull/7788/commits/babbb756eb1380df7f41b397bd90f8ebee49fad0', '/numpy/numpy/pull/7788/commits/d33e10cdec9a0634f42e671d5c61928c486cdd14']"
