ref_issue,number,ref_time,ref_author,ref_comment,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
pydata/pandas#13684,7853,,,,issue,xflr6,2016-07-17T21:41:28Z,,close,[],15,6,"['xflr6', 'jorisvandenbossche', 'sinhrks', 'njsmith', 'jreback', 'charris']"
pydata/pandas#13684,7844,2016-07-18 08:36:50,xflr6,5,issue,xflr6,2016-07-17T21:41:28Z,,close,[],15,6,"['xflr6', 'jorisvandenbossche', 'sinhrks', 'njsmith', 'jreback', 'charris']"
CellProfiler/CellProfiler#2113,7809,2016-07-07 08:01:27,emmenlau,1,issue,emmenlau,2016-07-11T06:08:23Z,,close,[],3,1,['emmenlau']
nipy/nibabel#446,7678,2016-05-26 12:43:51,lesteve,23,pr,,,,,[],32,7,"['arokem', 'coveralls', 'Eric89GXL', 'codecov-io', 'lesteve', 'effigies', 'matthew-brett']"
,,,,,,,,,,,,,
astropy/astropy#4950,7648,2016-05-19 16:27:54,jakevdp,7,pr,,,,,['#4954'],26,6,"['jakevdp', 'crawfordsm', 'mhvk', 'astrofrog', 'pllim', 'MSeifert04']"
pydata/pandas#12810,7425,2016-04-07 14:56:33,gfyoung,6,pr,,,,,"['#12638', '#12794', '#12644', '#12687', '#12811', '#12855', '#13048', '#13330']",45,4,"['gfyoung', 'jreback', 'wesm', 'codecov-io']"
scipy/scipy#5987,7325,2016-03-21 14:31:19,gfyoung,0,issue,perimosocordiae,2016-05-01T00:38:35Z,3889d49,close,['#6002'],9,3,"['gfyoung', 'perimosocordiae', 'pv']"
pydata/pandas#12644,7325,2016-03-16 15:22:15,gfyoung,0,issue,jreback,2016-05-01T15:11:59Z,23eb483,close,['#12810'],13,3,"['gfyoung', 'jreback', 'wesm']"
pydata/pandas#12687,7325,2016-03-22 14:28:20,jreback,0,issue,jreback,2016-05-01T15:11:59Z,23eb483,close,['#12810'],12,3,"['jreback', 'gfyoung', 'charris']"
pydata/pandas#12413,7325,,,,pr,,,,,"['#12503', '#12600', '#12644', '#12662']",56,6,"['gfyoung', 'jreback', 'shoyer', 'kawochen', 'jorisvandenbossche', 'codecov-io']"
,,,,,,,,,,,,,
astropy/astropy#4624,7312,2016-02-22 22:58:42,astrofrog,0,pr,,,,,[],3,2,"['astrofrog', 'taldcroft']"
pydata/pandas#12390,7285,2016-02-21 15:15:56,jreback,1,issue,jreback,2016-02-21T15:15:56Z,,close,[],2,1,['jreback']
pydata/pandas#12389,7285,2016-02-19 13:06:42,jreback,1,pr,,,,,['#12390'],2,1,['jreback']
